"";"ID";"SYMBOL";"a0Mean";"Posterior_class_a";"Posterior_class_b";"Posterior_class_c";"Posterior_class_d"
"1";"ILMN_1857017";"";" 7.89";"0.871";"0.0430";"0.0429";"0.0429"
"2";"ILMN_1762426";"DHFRL1";" 7.06";"0.871";"0.0431";"0.0429";"0.0429"
"3";"ILMN_1889144";"";" 5.45";"0.871";"0.0429";"0.0431";"0.0429"
"4";"ILMN_2176882";"ZNF69";"10.58";"0.871";"0.0429";"0.0432";"0.0430"
"5";"ILMN_2194467";"SGCB";" 5.79";"0.871";"0.0433";"0.0431";"0.0429"
"6";"ILMN_1806349";"SLC6A8";" 6.72";"0.871";"0.0430";"0.0430";"0.0434"
"7";"ILMN_1908258";"";" 4.77";"0.871";"0.0429";"0.0436";"0.0429"
"8";"ILMN_3300797";"LOC729090";"12.87";"0.871";"0.0432";"0.0430";"0.0432"
"9";"ILMN_1772492";"MCART1";"11.26";"0.871";"0.0429";"0.0429";"0.0437"
"10";"ILMN_1687316";"NCDN";" 6.16";"0.871";"0.0435";"0.0429";"0.0430"
"11";"ILMN_1802109";"KBTBD9";" 5.46";"0.870";"0.0438";"0.0430";"0.0429"
"12";"ILMN_2115974";"GSDM1";" 4.98";"0.870";"0.0429";"0.0430";"0.0439"
"13";"ILMN_1796855";"TIAL1";" 9.84";"0.870";"0.0433";"0.0432";"0.0434"
"14";"ILMN_2407851";"IL17RD";" 9.46";"0.870";"0.0434";"0.0437";"0.0429"
"15";"ILMN_2401878";"DUSP10";" 5.97";"0.870";"0.0434";"0.0431";"0.0435"
"16";"ILMN_3294106";"LOC100190938";"12.67";"0.870";"0.0434";"0.0430";"0.0437"
"17";"ILMN_1807088";"TTC33";" 6.14";"0.870";"0.0435";"0.0430";"0.0436"
"18";"ILMN_1699071";"C21orf7";" 6.38";"0.870";"0.0429";"0.0431";"0.0441"
"19";"ILMN_1744302";"LOC645489";" 6.54";"0.870";"0.0434";"0.0429";"0.0440"
"20";"ILMN_1653896";"ATRIP";" 6.98";"0.870";"0.0442";"0.0429";"0.0434"
"21";"ILMN_1847402";"";" 5.38";"0.870";"0.0436";"0.0431";"0.0437"
"22";"ILMN_3235637";"LOC100128288";" 9.91";"0.869";"0.0440";"0.0429";"0.0438"
"23";"ILMN_2206188";"SHROOM4";" 9.01";"0.869";"0.0445";"0.0433";"0.0428"
"24";"ILMN_1739582";"HOXA9";" 9.64";"0.869";"0.0447";"0.0431";"0.0428"
"25";"ILMN_1695317";"RCBTB1";" 5.02";"0.869";"0.0434";"0.0435";"0.0437"
"26";"ILMN_3178553";"LOC100128126";" 6.00";"0.869";"0.0447";"0.0428";"0.0433"
"27";"ILMN_1796106";"MGAT4B";" 7.01";"0.869";"0.0441";"0.0440";"0.0429"
"28";"ILMN_3285959";"LOC645515";" 8.55";"0.869";"0.0433";"0.0428";"0.0450"
"29";"ILMN_1814039";"LOC653086";"10.90";"0.869";"0.0428";"0.0429";"0.0453"
"30";"ILMN_1768732";"SPAG16";" 7.89";"0.869";"0.0429";"0.0450";"0.0432"
"31";"ILMN_1771320";"FLJ38717";" 5.87";"0.869";"0.0449";"0.0433";"0.0430"
"32";"ILMN_3307954";"L3MBTL4";" 4.92";"0.869";"0.0431";"0.0436";"0.0444"
"33";"ILMN_3180420";"LOC100129269";" 8.13";"0.869";"0.0430";"0.0431";"0.0451"
"34";"ILMN_2347943";"ZNF384";" 5.82";"0.869";"0.0434";"0.0436";"0.0441"
"35";"ILMN_1790461";"C6orf125";" 9.77";"0.869";"0.0453";"0.0428";"0.0432"
"36";"ILMN_2197225";"EIF4EBP3";" 6.60";"0.869";"0.0456";"0.0428";"0.0428"
"37";"ILMN_1727165";"LOC644852";" 6.74";"0.869";"0.0450";"0.0428";"0.0435"
"38";"ILMN_2415267";"RREB1";" 6.03";"0.869";"0.0428";"0.0439";"0.0446"
