"";"ID";"SYMBOL";"b1Mean";"b0Mean";"b1b0log2FC";"b1stderr";"b0stderr";"b0b1stderr";"Posterior_class_a";"Posterior_class_b";"Posterior_class_c";"Posterior_class_d"
"1";"ILMN_2395236";"CHEK2";" 7.71";" 8.09";"-0.3864";"0.01667";"0.00611";"0.01775";"0.0000";"1.000";"0.0000";"0.0000"
"2";"ILMN_1784420";"DDX12";" 5.41";" 6.13";"-0.7173";"0.02073";"0.00964";"0.02286";"0.0000";"1.000";"0.0000";"0.0000"
"3";"ILMN_1706015";"FAM43A";" 8.06";" 8.75";"-0.6910";"0.01774";"0.01892";"0.02594";"0.0000";"1.000";"0.0000";"0.0000"
"4";"ILMN_1739428";"IFIT2";"10.21";" 8.60";" 1.6098";"0.07182";"0.03268";"0.07890";"0.0000";"1.000";"0.0000";"0.0000"
"5";"ILMN_1707156";"LRRFIP2";" 9.93";" 9.47";" 0.4547";"0.00497";"0.01291";"0.01383";"0.0000";"1.000";"0.0000";"0.0000"
"6";"ILMN_1801833";"ARHGAP24";" 6.33";" 7.32";"-0.9897";"0.05607";"0.03178";"0.06445";"0.0001";"1.000";"0.0000";"0.0000"
"7";"ILMN_1724341";"CXorf45";" 6.61";" 6.12";" 0.4881";"0.00841";"0.02921";"0.03040";"0.0001";"1.000";"0.0000";"0.0000"
"8";"ILMN_1726839";"DCUN1D5";"10.61";"10.04";" 0.5643";"0.01401";"0.03129";"0.03428";"0.0001";"1.000";"0.0000";"0.0000"
"9";"ILMN_1751081";"EHMT2";" 5.22";" 5.71";"-0.4885";"0.01014";"0.02522";"0.02718";"0.0000";"1.000";"0.0000";"0.0000"
"10";"ILMN_1731648";"FOXJ2";" 8.91";" 9.39";"-0.4798";"0.02636";"0.01497";"0.03031";"0.0001";"1.000";"0.0001";"0.0000"
"11";"ILMN_3242900";"HIST2H2AA4";"10.37";"10.54";"-0.1642";"0.00713";"0.00661";"0.00972";"0.0001";"1.000";"0.0000";"0.0000"
"12";"ILMN_1662734";"OTOP3";" 6.88";" 7.74";"-0.8544";"0.04309";"0.01903";"0.04711";"0.0000";"1.000";"0.0000";"0.0000"
"13";"ILMN_1689842";"SC4MOL";" 8.05";" 7.33";" 0.7246";"0.00282";"0.04010";"0.04020";"0.0000";"1.000";"0.0000";"0.0000"
"14";"ILMN_1779015";"ZNF467";" 4.92";" 7.18";"-2.2597";"0.09838";"0.08429";"0.12955";"0.0000";"1.000";"0.0000";"0.0000"
"15";"ILMN_1762888";"FAM119A";" 6.80";" 5.98";" 0.8198";"0.04473";"0.03339";"0.05582";"0.0001";"1.000";"0.0000";"0.0000"
"16";"ILMN_1757440";"FAM69B";" 6.37";" 6.87";"-0.5051";"0.02861";"0.01829";"0.03395";"0.0001";"1.000";"0.0001";"0.0000"
"17";"ILMN_2353358";"LGALS8";"10.53";" 9.89";" 0.6310";"0.03406";"0.02369";"0.04148";"0.0001";"1.000";"0.0001";"0.0000"
"18";"ILMN_1736353";"PSMC1";"12.60";"12.34";" 0.2610";"0.00487";"0.01823";"0.01887";"0.0002";"1.000";"0.0001";"0.0000"
"19";"ILMN_2064694";"STIM1";" 7.28";" 8.06";"-0.7812";"0.04689";"0.01977";"0.05088";"0.0001";"1.000";"0.0001";"0.0000"
"20";"ILMN_2342437";"KLHL5";" 8.79";" 8.42";" 0.3733";"0.01074";"0.02558";"0.02774";"0.0002";"1.000";"0.0001";"0.0000"
