"";"ID";"SYMBOL";"c1Mean";"c0Mean";"c1c0log2FC";"c1stderr";"c0stderr";"c0c1stderr";"Posterior_class_a";"Posterior_class_b";"Posterior_class_c";"Posterior_class_d"
"1";"ILMN_1767651";"TECPR1";" 5.92";" 6.57";"-0.6550";"0.012638";"0.02053";"0.02411";"0.0000";"0.0000";"1.000";"0.0000"
"2";"ILMN_1756631";"ZNF526";" 6.45";" 6.87";"-0.4146";"0.019517";"0.00623";"0.02049";"0.0000";"0.0000";"1.000";"0.0000"
"3";"ILMN_2327090";"MAEA";" 7.94";" 8.34";"-0.4067";"0.029235";"0.00913";"0.03063";"0.0000";"0.0000";"1.000";"0.0000"
"4";"ILMN_1654689";"ZNF197";" 5.63";" 5.35";" 0.2782";"0.000903";"0.00977";"0.00981";"0.0000";"0.0000";"1.000";"0.0000"
"5";"ILMN_1737833";"ATN1";" 8.85";" 9.17";"-0.3217";"0.003438";"0.01639";"0.01674";"0.0002";"0.0000";"1.000";"0.0001"
"6";"ILMN_2399503";"UBN1";" 9.02";" 9.32";"-0.3025";"0.002652";"0.01422";"0.01446";"0.0002";"0.0001";"1.000";"0.0000"
"7";"ILMN_1753885";"YTHDF1";" 9.34";" 9.53";"-0.1892";"0.008979";"0.00861";"0.01244";"0.0002";"0.0001";"1.000";"0.0001"
"8";"ILMN_1677785";"ZNF559";" 6.61";" 6.13";" 0.4846";"0.009979";"0.02235";"0.02448";"0.0001";"0.0001";"1.000";"0.0000"
"9";"ILMN_1696066";"CARS";" 7.35";" 6.94";" 0.4072";"0.011696";"0.02006";"0.02322";"0.0002";"0.0002";"1.000";"0.0001"
"10";"ILMN_3249331";"LOC100133482";" 5.41";" 5.93";"-0.5219";"0.030572";"0.02543";"0.03977";"0.0003";"0.0001";"1.000";"0.0001"
"11";"ILMN_3284584";"LOC390345";"12.66";"13.02";"-0.3657";"0.012462";"0.01884";"0.02259";"0.0003";"0.0001";"1.000";"0.0001"
"12";"ILMN_1701655";"SLC24A6";" 7.11";" 7.52";"-0.4082";"0.002629";"0.02177";"0.02193";"0.0003";"0.0001";"1.000";"0.0001"
"13";"ILMN_1674985";"TMEM51";" 8.47";" 9.09";"-0.6233";"0.007421";"0.03378";"0.03459";"0.0004";"0.0002";"0.999";"0.0001"
"14";"ILMN_2275533";"DIAPH3";" 7.56";" 6.94";" 0.6113";"0.064657";"0.02113";"0.06802";"0.0004";"0.0002";"0.999";"0.0002"
"15";"ILMN_1811836";"DYNC2LI1";" 7.11";" 6.59";" 0.5165";"0.032672";"0.02603";"0.04177";"0.0004";"0.0001";"0.999";"0.0001"
"16";"ILMN_1738468";"KEL";" 5.78";" 6.76";"-0.9875";"0.036845";"0.05392";"0.06531";"0.0005";"0.0001";"0.999";"0.0001"
"17";"ILMN_2401769";"PHF14";" 6.81";" 6.01";" 0.8003";"0.036002";"0.04364";"0.05658";"0.0005";"0.0001";"0.999";"0.0001"
"18";"ILMN_1695645";"CETN2";"11.37";"10.98";" 0.3831";"0.003748";"0.02126";"0.02158";"0.0004";"0.0003";"0.999";"0.0001"
"19";"ILMN_3257004";"LOC100130476";" 5.62";" 5.25";" 0.3738";"0.004752";"0.02157";"0.02209";"0.0005";"0.0002";"0.999";"0.0001"
"20";"ILMN_1670064";"C1orf210";" 4.79";" 5.22";"-0.4241";"0.015012";"0.02323";"0.02766";"0.0004";"0.0005";"0.999";"0.0001"
"21";"ILMN_1713088";"MSI2";" 7.50";" 7.65";"-0.1423";"0.013375";"0.00638";"0.01482";"0.0006";"0.0002";"0.999";"0.0002"
"22";"ILMN_1781135";"STAM2";" 6.42";" 5.65";" 0.7708";"0.018344";"0.04459";"0.04822";"0.0005";"0.0004";"0.999";"0.0001"
"23";"ILMN_2263466";"ACADVL";" 5.11";" 5.40";"-0.2873";"0.003992";"0.01777";"0.01821";"0.0008";"0.0002";"0.999";"0.0002"
"24";"ILMN_2158336";"SH3GLB2";"10.48";"10.74";"-0.2670";"0.006815";"0.01572";"0.01713";"0.0006";"0.0005";"0.999";"0.0001"
"25";"ILMN_1782257";"METT11D1";" 9.14";" 9.58";"-0.4463";"0.027581";"0.02522";"0.03737";"0.0008";"0.0003";"0.999";"0.0002"
"26";"ILMN_2382505";"SLC22A18";" 7.30";" 7.72";"-0.4166";"0.049257";"0.01649";"0.05194";"0.0008";"0.0002";"0.999";"0.0004"
"27";"ILMN_1685371";"SUMF2";" 8.38";" 9.13";"-0.7529";"0.015397";"0.04572";"0.04825";"0.0007";"0.0004";"0.999";"0.0001"
