"";"ID";"SYMBOL";"d1Mean";"d0Mean";"d1d0log2FC";"Posterior_class_a";"Posterior_class_b";"Posterior_class_c";"Posterior_class_d"
"1";"ILMN_1668465";"KIAA1609";" 6.02";" 6.33";"-0.3127";"0.0000";"0.0000";"0.0000";"1.000"
"2";"ILMN_1801378";"COQ3";" 9.48";" 9.13";" 0.3542";"0.0000";"0.0000";"0.0000";"1.000"
"3";"ILMN_1742922";"PRIM2A";" 6.64";" 7.05";"-0.4066";"0.0001";"0.0000";"0.0000";"1.000"
"4";"ILMN_2199313";"NPDC1";" 6.75";" 7.38";"-0.6267";"0.0002";"0.0000";"0.0001";"1.000"
"5";"ILMN_1782788";"CSDA";"12.91";"13.19";"-0.2773";"0.0004";"0.0000";"0.0001";"1.000"
"6";"ILMN_1806266";"RAP1GDS1";" 8.85";" 8.47";" 0.3870";"0.0005";"0.0001";"0.0003";"0.999"
"7";"ILMN_1687524";"KBTBD4";" 4.69";" 5.38";"-0.6961";"0.0010";"0.0001";"0.0002";"0.999"
"8";"ILMN_1661492";"ARRDC1";" 4.87";" 5.41";"-0.5388";"0.0012";"0.0001";"0.0002";"0.999"
"9";"ILMN_1783753";"TXNDC12";"10.67";"10.41";" 0.2573";"0.0015";"0.0002";"0.0004";"0.998"
"10";"ILMN_1757702";"LOC647673";" 9.63";"10.06";"-0.4249";"0.0018";"0.0002";"0.0003";"0.998"
"11";"ILMN_2358541";"RBMS1";" 7.77";" 7.33";" 0.4337";"0.0021";"0.0001";"0.0002";"0.998"
"12";"ILMN_1798980";"CAPZB";" 9.64";" 9.90";"-0.2668";"0.0020";"0.0003";"0.0007";"0.997"
"13";"ILMN_2359887";"PPP2R5D";" 5.49";" 5.97";"-0.4780";"0.0025";"0.0002";"0.0006";"0.997"
"14";"ILMN_2106167";"RAP1GDS1";" 8.51";" 7.98";" 0.5280";"0.0025";"0.0003";"0.0013";"0.996"
"15";"ILMN_1815319";"CMTM4";" 9.06";" 9.37";"-0.3079";"0.0034";"0.0003";"0.0004";"0.996"
"16";"ILMN_3235912";"C7orf38";" 6.01";" 5.73";" 0.2801";"0.0036";"0.0003";"0.0006";"0.996"
"17";"ILMN_1762718";"CMTM4";" 7.41";" 7.83";"-0.4201";"0.0030";"0.0004";"0.0011";"0.996"
"18";"ILMN_2347193";"GSDMB";" 5.24";" 5.93";"-0.6912";"0.0023";"0.0003";"0.0020";"0.996"
"19";"ILMN_1727041";"EWSR1";"11.23";"11.66";"-0.4265";"0.0025";"0.0004";"0.0020";"0.995"
"20";"ILMN_2399431";"PRPS2";" 8.89";" 8.50";" 0.3892";"0.0031";"0.0007";"0.0014";"0.995"
"21";"ILMN_2089977";"FKBP9L";" 9.55";"10.25";"-0.6986";"0.0045";"0.0004";"0.0018";"0.993"
"22";"ILMN_1659553";"ANAPC1";" 6.57";" 7.13";"-0.5551";"0.0048";"0.0006";"0.0014";"0.993"
"23";"ILMN_1810852";"LAMC1";"10.33";"10.84";"-0.5094";"0.0039";"0.0007";"0.0029";"0.993"
"24";"ILMN_1758412";"COPS7A";"10.39";"10.59";"-0.2020";"0.0056";"0.0005";"0.0019";"0.992"
"25";"ILMN_1695621";"KRT3";" 5.07";" 5.38";"-0.3093";"0.0065";"0.0006";"0.0011";"0.992"
"26";"ILMN_1702676";"C17orf68";" 5.86";" 6.41";"-0.5578";"0.0058";"0.0012";"0.0014";"0.992"
"27";"ILMN_1661809";"PRRG4";" 7.30";" 7.92";"-0.6201";"0.0072";"0.0005";"0.0013";"0.991"
"28";"ILMN_1747697";"CHML";" 5.43";" 4.98";" 0.4475";"0.0078";"0.0012";"0.0013";"0.990"
"29";"ILMN_1798224";"JARID1C";" 4.78";" 5.42";"-0.6419";"0.0068";"0.0012";"0.0026";"0.989"
"30";"ILMN_1691892";"TAGLN2";" 8.32";" 8.94";"-0.6169";"0.0068";"0.0007";"0.0030";"0.989"
"31";"ILMN_2362293";"FBXO38";" 7.30";" 6.84";" 0.4543";"0.0082";"0.0009";"0.0020";"0.989"
"32";"ILMN_2175447";"ZNF767";" 5.23";" 5.73";"-0.5005";"0.0085";"0.0011";"0.0017";"0.989"
"33";"ILMN_2047914";"NPY5R";" 5.49";" 4.80";" 0.6903";"0.0096";"0.0006";"0.0012";"0.989"
"34";"ILMN_1791423";"LOC401052";" 5.10";" 5.48";"-0.3772";"0.0102";"0.0006";"0.0009";"0.988"
"35";"ILMN_1779423";"MRPS14";" 5.98";" 6.31";"-0.3293";"0.0076";"0.0006";"0.0035";"0.988"
"36";"ILMN_1806010";"CUL9";" 5.83";" 6.45";"-0.6131";"0.0083";"0.0014";"0.0023";"0.988"
"37";"ILMN_2403896";"GGTLC2";" 4.72";" 5.42";"-0.6998";"0.0079";"0.0006";"0.0038";"0.988"
"38";"ILMN_2044027";"C20orf191";" 8.45";" 8.83";"-0.3842";"0.0077";"0.0015";"0.0032";"0.988"
"39";"ILMN_2179873";"PHC3";" 6.75";" 6.23";" 0.5274";"0.0087";"0.0007";"0.0036";"0.987"
"40";"ILMN_1793371";"KIAA0430";" 8.62";" 8.89";"-0.2640";"0.0113";"0.0007";"0.0010";"0.987"
"41";"ILMN_1834842";"";" 6.02";" 5.21";" 0.8005";"0.0080";"0.0010";"0.0043";"0.987"
"42";"ILMN_1794599";"SNRPD3";" 8.36";" 8.58";"-0.2167";"0.0123";"0.0007";"0.0017";"0.985"
"43";"ILMN_1655663";"SC65";" 6.26";" 6.70";"-0.4417";"0.0130";"0.0020";"0.0018";"0.983"
"44";"ILMN_2183728";"INTU";" 6.23";" 5.87";" 0.3621";"0.0127";"0.0019";"0.0027";"0.983"
"45";"ILMN_1744023";"MGC18216";" 7.85";" 8.58";"-0.7269";"0.0128";"0.0017";"0.0040";"0.982"
"46";"ILMN_2358540";"RBMS1";" 9.30";" 8.91";" 0.3909";"0.0132";"0.0029";"0.0025";"0.981"
"47";"ILMN_1771738";"ARL5A";" 6.65";" 6.18";" 0.4684";"0.0142";"0.0021";"0.0027";"0.981"
"48";"ILMN_1772667";"P2RY1";" 6.87";" 6.51";" 0.3634";"0.0168";"0.0020";"0.0020";"0.979"
"49";"ILMN_1756086";"INTS3";" 8.49";" 8.82";"-0.3344";"0.0150";"0.0025";"0.0036";"0.979"
"50";"ILMN_2357382";"TERF1";" 6.49";" 5.96";" 0.5338";"0.0142";"0.0019";"0.0054";"0.979"
"51";"ILMN_2131392";"WDR70";" 9.07";" 9.36";"-0.2880";"0.0169";"0.0017";"0.0030";"0.978"
"52";"ILMN_2313901";"PAM";" 9.60";" 9.99";"-0.3872";"0.0174";"0.0027";"0.0024";"0.978"
"53";"ILMN_1688580";"CAMP";" 5.23";" 5.99";"-0.7669";"0.0130";"0.0033";"0.0068";"0.977"
"54";"ILMN_3279935";"LOC646909";" 8.04";" 7.21";" 0.8291";"0.0171";"0.0017";"0.0047";"0.977"
"55";"ILMN_1664303";"HTATIP2";" 9.82";"10.25";"-0.4268";"0.0147";"0.0028";"0.0062";"0.976"
"56";"ILMN_1917174";"";" 5.16";" 4.78";" 0.3767";"0.0149";"0.0011";"0.0078";"0.976"
"57";"ILMN_1657144";"C1orf69";" 4.98";" 5.45";"-0.4723";"0.0184";"0.0012";"0.0054";"0.975"
"58";"ILMN_1744442";"TTPAL";" 6.78";" 6.16";" 0.6171";"0.0199";"0.0025";"0.0037";"0.974"
"59";"ILMN_2210934";"NR3C2";" 7.46";" 7.93";"-0.4759";"0.0210";"0.0018";"0.0033";"0.974"
"60";"ILMN_1680072";"ZNF32";" 4.97";" 5.32";"-0.3575";"0.0153";"0.0048";"0.0064";"0.974"
"61";"ILMN_1756102";"RFX3";" 5.92";" 5.38";" 0.5310";"0.0155";"0.0033";"0.0076";"0.974"
"62";"ILMN_1674866";"TADA3";" 8.26";" 8.82";"-0.5533";"0.0188";"0.0019";"0.0062";"0.973"
"63";"ILMN_1735700";"KLK8";" 7.40";" 6.79";" 0.6077";"0.0222";"0.0028";"0.0023";"0.973"
"64";"ILMN_1790472";"SLC25A28";" 9.51";" 9.89";"-0.3866";"0.0204";"0.0021";"0.0061";"0.971"
"65";"ILMN_1670331";"LOC650757";" 4.87";" 5.43";"-0.5570";"0.0173";"0.0024";"0.0092";"0.971"
