"";"REFSEQ_MRNA";"logFC"
"ILMN_2404407";"NM_000663";-1,07521739785512
"ILMN_2361400";"NM_015657";0,455050611743472
"ILMN_1761058";"NM_032169";0,633368556565264
"ILMN_1671703";"NM_001613";-1,40775311798358
"ILMN_2060086";"NM_003812";-0,403678442418371
"ILMN_2320964";"NM_015840";-0,540456560358598
"ILMN_1685156";"NM_020983";-0,627092214511274
"ILMN_1813975";"NM_018269";-0,767119331332498
"ILMN_2396956";"NM_007200";-0,288321516309264
"ILMN_2372398";"NM_001080";-0,43758651174159
"ILMN_1801606";"NM_001033569";-0,44204450978768
"ILMN_1659553";"NM_022662";-0,556156200625926
"ILMN_1794470";"NM_016376";-0,256746629570939
"ILMN_1710979";"NM_016466";0,478021406879441
"ILMN_1655868";"NM_012403";0,595889484771392
"ILMN_1656951";"NM_153000";-1,473553667971
"ILMN_1802203";"NM_001024227";-0,0690147650578954
"ILMN_1731178";"NM_030672";-0,319445727994655
"ILMN_1733861";"NM_014784";-0,166317513321102
"ILMN_1774161";"NM_019087";0,409523151130171
"ILMN_1771738";"NM_012097";0,469558862375332
"ILMN_1661492";"NM_152285";-0,538969353504317
"ILMN_1693771";"NM_004318";0,397725420740981
"ILMN_2313782";"NM_178270";0,332310554392891
"ILMN_2320349";"NM_138972";-0,911260244440189
"ILMN_1767612";"NM_031885";-0,831163190320959
"ILMN_2371147";"NM_004765";-0,472523633184675
"ILMN_1799280";"NM_203314";-0,493283009068252
"ILMN_2372413";"NM_197967";-0,748369531016517
"ILMN_1763386";"NM_197966";-0,427746513588744
"ILMN_1785635";"NM_007371";-0,585146741742005
"ILMN_2086222";"NM_018117";0,151063110079628
"ILMN_2205963";"NM_022153";-0,49654678322988
"ILMN_1702676";"XM_938283";-0,559483480932524
"ILMN_1754894";"NM_174896";0,63039148315848
"ILMN_1790713";"NM_001010979";0,407779604584549
"ILMN_1657144";"NM_001010867";-0,473944332671
"ILMN_2044027";"NM_001039379";-0,384357089757291
"ILMN_1806312";"NM_001009924";-0,285846132599035
"ILMN_1732404";"NM_144706";-0,331400381245302
"ILMN_1757636";"NM_153706";0,551872628189487
"ILMN_1696711";"NM_030568";-0,358340753410928
"ILMN_1804498";"NM_152743";-0,418838048537896
"ILMN_3235912";"NM_145111";0,281089223280481
"ILMN_1679241";"NM_175075";0,48803659258437
"ILMN_1742074";"NM_032847";0,321357236020811
"ILMN_1813641";"NM_017723";-0,483647456716974
"ILMN_1688580";"NM_004345";-0,77021024471575
"ILMN_1737089";"NM_004055";-0,872848790300374
"ILMN_1798980";"NM_004930";-0,266815170456571
"ILMN_1794157";"NR_002318";0,341990471017811
"ILMN_1685580";"NM_170662";-0,404904506720172
"ILMN_1801766";"NM_017918";-0,678006137482001
"ILMN_3237926";"NM_024565";-0,724213303372957
"ILMN_1692390";"NM_001240";0,699239071744119
"ILMN_1796244";"NM_006110";0,34252029027599
