"";"Category";"Term";"Count";"%";"Pvalue";"FDR";"List Total";"Pop Hits";"Pop Total";"Fold Enrichment";"group"
"1";"GOTERM_BP_FAT";"GO:0000184~nuclear-transcribed mRNA catabolic process, nonsense-mediated decay";48;1,66551006245663;9,65607228187859e-11;1,95274874048579e-07;2436;123;16650;2,66730746125195;"a"
"2";"GOTERM_BP_FAT";"GO:0000209~protein polyubiquitination";62;2,15128383067314;3,51831096109708e-05;0,0711267635692625;2436;252;16650;1,68162092423176;"a"
"3";"GOTERM_BP_FAT";"GO:0000278~mitotic cell cycle";186;6,45385149201943;4,83146999859637e-05;0,0976614808258724;2436;968;16650;1,31333204413142;"a"
"4";"GOTERM_BP_FAT";"GO:0000375~RNA splicing, via transesterification reactions";84;2,9146426092991;4,58066583247653e-09;9,26348227014984e-06;2436;303;16650;1,89484465687948;"a"
"5";"GOTERM_BP_FAT";"GO:0000377~RNA splicing, via transesterification reactions with bulged adenosine as nucleophile";82;2,84524635669674;1,21119302248976e-08;2,44939593163629e-05;2436;299;16650;1,87447485048684;"a"
"6";"GOTERM_BP_FAT";"GO:0000398~mRNA splicing, via spliceosome";82;2,84524635669674;1,21119302248976e-08;2,44939593163629e-05;2436;299;16650;1,87447485048684;"a"
"7";"GOTERM_BP_FAT";"GO:0000723~telomere maintenance";35;1,21443442054129;0,000729396773418609;1,46476405857032;2436;134;16650;1,78525476067936;"a"
"8";"GOTERM_BP_FAT";"GO:0000730~DNA recombinase assembly";8;0,277585010409438;3,89241525159798e-05;0,0786868894212311;2436;9;16650;6,07553366174056;"a"
"9";"GOTERM_BP_FAT";"GO:0000731~DNA synthesis involved in DNA repair";23;0,798056904927134;0,000652137368688531;1,31058398305403;2436;74;16650;2,1243842364532;"a"
"10";"GOTERM_BP_FAT";"GO:0000956~nuclear-transcribed mRNA catabolic process";66;2,29007633587786;4,66506073148223e-10;9,43415412457682e-07;2436;206;16650;2,18984647759338;"a"
"11";"GOTERM_BP_FAT";"GO:0002756~MyD88-independent toll-like receptor signaling pathway";13;0,451075641915337;0,00121155969178909;2,42181498430566;2436;32;16650;2,77670874384236;"a"
"12";"GOTERM_BP_FAT";"GO:0002831~regulation of response to biotic stimulus";35;1,21443442054129;0,000965967280862735;1,93544521410203;2436;136;16650;1,75900101419878;"a"
"13";"GOTERM_BP_FAT";"GO:0006094~gluconeogenesis";22;0,763358778625954;0,00136594065682685;2,72637549093555;2436;73;16650;2,0598555907956;"a"
