"";"Category";"Term";"Count";"%";"Pvalue";"FDR";"List Total";"Pop Hits";"Pop Total";"Fold Enrichment";"group"
"1";"GOTERM_MF_FAT";"GO:0000150~recombinase activity";7;0,242886884108258;0,000202566959639653;0,351180607430346;2253;8;15478;6,01120727918331;"a"
"2";"GOTERM_MF_FAT";"GO:0003676~nucleic acid binding";757;26,2664816099931;3,39266838438689e-16;5,77315972805081e-13;2253;4097;15478;1,26935636816954;"a"
"3";"GOTERM_MF_FAT";"GO:0003682~chromatin binding";100;3,46981263011797;0,000915795678618735;1,57844279693874;2253;504;15478;1,36308555083522;"a"
"4";"GOTERM_MF_FAT";"GO:0003723~RNA binding";389;13,4975711311589;5,68464691523704e-25;9,87154472545592e-22;2253;1656;15478;1,61377476301056;"a"
"5";"GOTERM_MF_FAT";"GO:0003735~structural constituent of ribosome";74;2,5676613462873;3,33534184122103e-12;5,79190029270649e-09;2253;222;15478;2,28998372540317;"a"
"6";"GOTERM_MF_FAT";"GO:0003899~DNA-directed RNA polymerase activity";15;0,520471894517696;0,00286696201362163;4,86346182295729;2253;44;15478;2,34202881007142;"a"
"7";"GOTERM_MF_FAT";"GO:0004518~nuclease activity";57;1,97779319916725;4,02655194232858e-05;0,0698991418290551;2253;228;15478;1,71748779405237;"a"
"8";"GOTERM_MF_FAT";"GO:0004520~endodeoxyribonuclease activity";18;0,624566273421235;0,00152545174745426;2,61618032588302;2253;55;15478;2,24834765766856;"a"
"9";"GOTERM_MF_FAT";"GO:0004527~exonuclease activity";24;0,832755031228314;0,00159987152863991;2,74214679900093;2253;84;15478;1,96284319320271;"a"
"10";"GOTERM_MF_FAT";"GO:0004722~protein serine/threonine phosphatase activity";21;0,728660652324775;0,00122141750252276;2,09995850269882;2253;68;15478;2,12160256912352;"a"
"11";"GOTERM_MF_FAT";"GO:0004842~ubiquitin-protein transferase activity";90;3,12283136710618;0,00011454455835078;0,198723431883008;2253;419;15478;1,47564583737197;"a"
"12";"GOTERM_MF_FAT";"GO:0005198~structural molecule activity";149;5,17002081887578;0,000339749607084892;0,588347143513968;2253;782;15478;1,30898046707828;"a"
"13";"GOTERM_MF_FAT";"GO:0008134~transcription factor binding";108;3,74739764052741;4,91530279365995e-05;0,0853212548389659;2253;512;15478;1,44913032623169;"a"
"14";"GOTERM_MF_FAT";"GO:0016779~nucleotidyltransferase activity";36;1,24913254684247;0,000309862890479858;0,536723227431757;2253;134;15478;1,84565852495181;"a"
"15";"GOTERM_MF_FAT";"GO:0019787~ubiquitin-like protein transferase activity";99;3,43511450381679;6,35543810429909e-06;0,011035818037064;2253;439;15478;1,54926006023859;"a"
"16";"GOTERM_MF_FAT";"GO:0019899~enzyme binding";347;12,0402498265094;2,19337098592736e-09;3,80884868089737e-06;2253;1789;15478;1,33251708113175;"a"
"17";"GOTERM_MF_FAT";"GO:0019900~kinase binding";114;3,95558639833449;0,00144523390842908;2,48022760175467;2253;595;15478;1,31625955308888;"a"
"18";"GOTERM_MF_FAT";"GO:0019901~protein kinase binding";103;3,57390700902151;0,00164060532097092;2,81102971724645;2253;531;15478;1,3325893995284;"a"
"19";"GOTERM_MF_FAT";"GO:0019902~phosphatase binding";38;1,31852879944483;0,00117976128346497;2,02902958286643;2253;154;15478;1,69518275776598;"a"
"20";"GOTERM_MF_FAT";"GO:0019904~protein domain specific binding";116;4,02498265093685;0,00214000121740342;3,65180507400816;2253;614;15478;1,29790608540766;"a"
"21";"GOTERM_MF_FAT";"GO:0031490~chromatin DNA binding";28;0,971547536433033;0,00135243065998258;2,32272204054844;2253;103;15478;1,86755954304724;"a"
"22";"GOTERM_MF_FAT";"GO:0031491~nucleosome binding";20;0,693962526023595;0,00141780534080912;2,43370080462023;2253;64;15478;2,14685974256547;"a"
"23";"GOTERM_MF_FAT";"GO:0031492~nucleosomal DNA binding";17;0,589868147120056;0,000493354659580628;0,853274028691919;2253;46;15478;2,53889499990351;"a"
"24";"GOTERM_MF_FAT";"GO:0031625~ubiquitin protein ligase binding";62;2,15128383067314;0,0012508787820607;2,15009362304401;2253;287;15478;1,48410095095815;"a"
"25";"GOTERM_MF_FAT";"GO:0035257~nuclear hormone receptor binding";33;1,14503816793893;0,00140683993033737;2,41509443889374;2253;129;15478;1,75742937065824;"a"
"26";"GOTERM_MF_FAT";"GO:0042802~identical protein binding";243;8,43164469118668;0,000292651252017091;0,506981761034941;2253;1358;15478;1,22930643285634;"a"
"27";"GOTERM_MF_FAT";"GO:0043566~structure-specific DNA binding";38;1,31852879944483;0,000259726808991221;0,450065439819325;2253;143;15478;1,82558143144029;"a"
"28";"GOTERM_MF_FAT";"GO:0044389~ubiquitin-like protein ligase binding";64;2,2206800832755;0,000704344583359741;1,2160896963015;2253;292;15478;1,50574272355277;"a"
"29";"GOTERM_MF_FAT";"GO:0044822~poly(A) RNA binding";307;10,6523247744622;5,2407120188049e-26;9,10063964539294e-23;2253;1196;15478;1,76344064472936;"a"
"30";"GOTERM_MF_FAT";"GO:0045296~cadherin binding";75;2,60235947258848;5,23598612063663e-06;0,00909204344682335;2253;307;15478;1,67832683457887;"a"
"31";"GOTERM_MF_FAT";"GO:0046966~thyroid hormone receptor binding";12;0,416377515614157;0,00082458355754987;1,42229107321312;2253;27;15478;3,05331163387089;"a"
"32";"GOTERM_MF_FAT";"GO:0047485~protein N-terminus binding";29;1,00624566273421;0,000355759016958453;0,615990126509602;2253;100;15478;1,99228584110075;"a"
"33";"GOTERM_MF_FAT";"GO:0050839~cell adhesion molecule binding";95;3,29632199861208;0,000345932099150826;0,599023131673082;2253;461;15478;1,41571661982625;"a"
"34";"GOTERM_MF_FAT";"GO:0051427~hormone receptor binding";37;1,28383067314365;0,00139206478351465;2,39001833457985;2253;150;15478;1,69458795679834;"a"
"35";"GOTERM_MF_FAT";"GO:0061659~ubiquitin-like protein ligase activity";46;1,59611380985427;0,0021928418576366;3,74036464253473;2253;203;15478;1,55673770495388;"a"
"36";"GOTERM_MF_FAT";"GO:0097159~organic cyclic compound binding";1025;35,5655794587092;1,59463856285484e-11;2,76912826002729e-08;2253;6052;15478;1,16353270912339;"a"
"37";"GOTERM_MF_FAT";"GO:0098631~protein binding involved in cell adhesion";72;2,49826509368494;3,14612164603681e-05;0,0546191999087342;2253;306;15478;1,61645910028459;"a"
"38";"GOTERM_MF_FAT";"GO:0098632~protein binding involved in cell-cell adhesion";72;2,49826509368494;1,76475401483064e-05;0,0306410108562138;2253;301;15478;1,64331058035576;"a"
"39";"GOTERM_MF_FAT";"GO:0098641~cadherin binding involved in cell-cell adhesion";71;2,46356696738376;8,85616144872305e-06;0,0153778519748293;2253;290;15478;1,6819535638306;"a"
"40";"GOTERM_MF_FAT";"GO:1901363~heterocyclic compound binding";1016;35,2532963219986;6,09897740007122e-12;1,05910946679444e-08;2253;5971;15478;1,16896171412307;"a"
"41";"GOTERM_MF_FAT";"GO:0003676~nucleic acid binding";397;26,4314247669774;1,44323034718865e-06;0,00244463035773412;1228;4097;15478;1,22135247925112;"b"
"42";"GOTERM_MF_FAT";"GO:0003723~RNA binding";217;14,4474034620506;1,88096502319043e-14;3,17856851950182e-11;1228;1656;15478;1,65164184330202;"b"
"43";"GOTERM_MF_FAT";"GO:0008134~transcription factor binding";63;4,19440745672437;0,000513337380333848;0,865983559101757;1228;512;15478;1,55091167039902;"b"
"44";"GOTERM_MF_FAT";"GO:0016651~oxidoreductase activity, acting on NAD(P)H";20;1,33155792276964;0,000692253126372648;1,16614669861054;1228;107;15478;2,35593168741819;"b"
"45";"GOTERM_MF_FAT";"GO:0016791~phosphatase activity";41;2,72969374167776;0,000194607238674699;0,329130489563567;1228;280;15478;1,84562005583993;"b"
"46";"GOTERM_MF_FAT";"GO:0019843~rRNA binding";14;0,932090545938748;0,000973984387185526;1,6370682474966;1228;62;15478;2,84611747399391;"b"
"47";"GOTERM_MF_FAT";"GO:0030515~snoRNA binding";10;0,66577896138482;0,000280203828315829;0,473573153459939;1228;29;15478;4,34628776816803;"b"
"48";"GOTERM_MF_FAT";"GO:0044822~poly(A) RNA binding";176;11,7177097203728;2,43052361697151e-16;3,77475828372553e-13;1228;1196;15478;1,85480374320482;"b"
"49";"GOTERM_MF_FAT";"GO:0044877~macromolecular complex binding";133;8,85486018641811;0,0017813016794808;2,97485476148861;1228;1306;15478;1,28358590519327;"b"
"50";"GOTERM_MF_FAT";"GO:0045296~cadherin binding";45;2,99600532623169;8,77043709503689e-05;0,14845685543956;1228;307;15478;1,84752623370009;"b"
"51";"GOTERM_MF_FAT";"GO:0050839~cell adhesion molecule binding";59;3,92809587217044;0,000290195132407181;0,490420451200257;1228;461;15478;1,61312329096215;"b"
"52";"GOTERM_MF_FAT";"GO:0051082~unfolded protein binding";20;1,33155792276964;0,000980471520836617;1,64788676075281;1228;110;15478;2,29167900503405;"b"
"53";"GOTERM_MF_FAT";"GO:0097159~organic cyclic compound binding";550;36,6178428761651;1,54774115984365e-05;0,0262136386218637;1228;6052;15478;1,14546083777727;"b"
"54";"GOTERM_MF_FAT";"GO:0098631~protein binding involved in cell adhesion";45;2,99600532623169;8,17935888171795e-05;0,138458217855952;1228;306;15478;1,85356390113048;"b"
"55";"GOTERM_MF_FAT";"GO:0098632~protein binding involved in cell-cell adhesion";44;2,92942743009321;0,000114063994278486;0,193035142610165;1228;301;15478;1,84247946584133;"b"
"56";"GOTERM_MF_FAT";"GO:0098641~cadherin binding involved in cell-cell adhesion";42;2,79627163781625;0,000203956909367711;0,344917477036299;1228;290;15478;1,82544086263057;"b"
"57";"GOTERM_MF_FAT";"GO:1901363~heterocyclic compound binding";547;36,4181091877497;5,9796185326177e-06;0,0101282713196871;1228;5971;15478;1,15466693797437;"b"
"58";"GOTERM_MF_FAT";"GO:0000166~nucleotide binding";167;16,9028340080972;2,14757515028653e-05;0,0355482979086719;800;2389;15478;1,35246232733361;"c"
"59";"GOTERM_MF_FAT";"GO:0001882~nucleoside binding";124;12,5506072874494;0,00210596871124191;3,4300127385038;800;1860;15478;1,28983333333333;"c"
"60";"GOTERM_MF_FAT";"GO:0003723~RNA binding";136;13,7651821862348;3,31252305676598e-08;5,48405471256785e-05;800;1656;15478;1,58892512077295;"c"
"61";"GOTERM_MF_FAT";"GO:0003729~mRNA binding";23;2,32793522267206;0,00011848183556401;0,19597225411051;800;177;15478;2,51408192090395;"c"
"62";"GOTERM_MF_FAT";"GO:0003730~mRNA 3'-UTR binding";10;1,01214574898785;0,00123881465916212;2,0312800300446;800;52;15478;3,72067307692308;"c"
"63";"GOTERM_MF_FAT";"GO:0016417~S-acyltransferase activity";8;0,809716599190283;0,00213559820203149;3,47747239887821;800;36;15478;4,29944444444445;"c"
"64";"GOTERM_MF_FAT";"GO:0016462~pyrophosphatase activity";63;6,37651821862348;0,00177396375042805;2,89671531023311;800;824;15478;1,47923847087379;"c"
"65";"GOTERM_MF_FAT";"GO:0016817~hydrolase activity, acting on acid anhydrides";64;6,47773279352227;0,00124740465338913;2,04522869296457;800;828;15478;1,49545893719807;"c"
"66";"GOTERM_MF_FAT";"GO:0016818~hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides";64;6,47773279352227;0,00115741250758237;1,89900436037495;800;826;15478;1,4990799031477;"c"
"67";"GOTERM_MF_FAT";"GO:0017016~Ras GTPase binding";34;3,4412955465587;3,4875474109379e-06;0,00577366153639014;800;269;15478;2,44540892193309;"c"
"68";"GOTERM_MF_FAT";"GO:0017111~nucleoside-triphosphatase activity";61;6,17408906882591;0,00121442256253677;1,99166131488278;800;779;15478;1,51501604621309;"c"
"69";"GOTERM_MF_FAT";"GO:0017137~Rab GTPase binding";19;1,92307692307692;0,000181686404918443;0,300366720289758;800;134;15478;2,74330223880597;"c"
"70";"GOTERM_MF_FAT";"GO:0019899~enzyme binding";141;14,2712550607287;2,13124642751581e-07;0,000352838469441785;800;1789;15478;1,52487283398547;"c"
"71";"GOTERM_MF_FAT";"GO:0031267~small GTPase binding";38;3,84615384615385;3,70038541405475e-07;0,000612616502548846;800;291;15478;2,52647766323024;"c"
"72";"GOTERM_MF_FAT";"GO:0032549~ribonucleoside binding";123;12,4493927125506;0,00245227166129787;3,9833438492754;800;1853;15478;1,28426470588235;"c"
"73";"GOTERM_MF_FAT";"GO:0035639~purine ribonucleoside triphosphate binding";122;12,3481781376518;0,00266367006697163;4,3196554924161;800;1841;15478;1,28212656165128;"c"
"74";"GOTERM_MF_FAT";"GO:0036094~small molecule binding";179;18,1174089068826;1,26143101175121e-05;0,0208816049981131;800;2571;15478;1,3470254764683;"c"
"75";"GOTERM_MF_FAT";"GO:0044822~poly(A) RNA binding";102;10,3238866396761;4,66121477869679e-07;0,000771685822453794;800;1196;15478;1,65003762541806;"c"
"76";"GOTERM_MF_FAT";"GO:0045296~cadherin binding";31;3,13765182186235;0,000606693316661067;0,999687075504341;800;307;15478;1,95365635179153;"c"
"77";"GOTERM_MF_FAT";"GO:0051020~GTPase binding";38;3,84615384615385;2,76765035891682e-06;0,00458189208979443;800;316;15478;2,32659810126582;"c"
"78";"GOTERM_MF_FAT";"GO:0097159~organic cyclic compound binding";365;36,9433198380567;7,91689499366619e-05;0,130987684836192;800;6052;15478;1,16686012888301;"c"
"79";"GOTERM_MF_FAT";"GO:0098631~protein binding involved in cell adhesion";31;3,13765182186235;0,000574916573282385;0,94756041485845;800;306;15478;1,9600408496732;"c"
"80";"GOTERM_MF_FAT";"GO:0098632~protein binding involved in cell-cell adhesion";31;3,13765182186235;0,000436967794043254;0,720969719163678;800;301;15478;1,99259966777409;"c"
"81";"GOTERM_MF_FAT";"GO:0098641~cadherin binding involved in cell-cell adhesion";30;3,03643724696356;0,000511853896235241;0,844035837461454;800;290;15478;2,00146551724138;"c"
"82";"GOTERM_MF_FAT";"GO:1901265~nucleoside phosphate binding";167;16,9028340080972;2,16019769383949e-05;0,0357572007502416;800;2390;15478;1,35189644351464;"c"
"83";"GOTERM_MF_FAT";"GO:1901363~heterocyclic compound binding";362;36,6396761133603;5,46671017430251e-05;0,0904657908009199;800;5971;15478;1,17296851448669;"c"
"84";"GOTERM_MF_FAT";"GO:0003723~RNA binding";43;13,3540372670807;0,00258163509618592;3,87369426725636;254;1656;15478;1,58230153296055;"d"
"85";"GOTERM_MF_FAT";"GO:0019899~enzyme binding";53;16,4596273291925;2,35354173284552e-05;0,0359640691068419;254;1789;15478;1,80528866256167;"d"
"86";"GOTERM_MF_FAT";"GO:0044822~poly(A) RNA binding";35;10,8695652173913;0,00109023696319481;1,65334125275806;254;1196;15478;1,78327364179812;"d"
