"";"Category";"Term";"Count";"%";"Pvalue";"FDR";"List Total";"Pop Hits";"Pop Total";"Fold Enrichment";"group"
"1";"INTERPRO";"IPR001841:Zinc finger, RING-type";64;2,2206800832755;0,00033692834427083;0,61015223737011;2598;295;18559;1,54979188684908;"a"
"2";"INTERPRO";"IPR009072:Histone-fold";31;1,07564191533657;0,000262614943712468;0,475879339920371;2598;112;18559;1,9772386726053;"a"
"3";"INTERPRO";"IPR012677:Nucleotide-binding, alpha-beta plait";55;1,90839694656489;0,00236626720241808;4,21137946508785;2598;264;18559;1,48824416217603;"a"
"4";"INTERPRO";"IPR013632:DNA recombination and repair protein Rad51, C-terminal";7;0,242886884108258;4,60333060472259e-05;0,0835711586695487;2598;7;18559;7,14357197844496;"a"
"5";"INTERPRO";"IPR016467:DNA recombination and repair protein, RecA-like";6;0,208188757807078;0,00028349557525665;0,513624738014706;2598;6;18559;7,14357197844496;"a"
"6";"INTERPRO";"IPR020588:DNA recombination/repair protein RecA/RadB, ATP-binding domain";7;0,242886884108258;4,60333060472259e-05;0,0835711586695487;2598;7;18559;7,14357197844496;"a"
"7";"INTERPRO";"IPR002194:Chaperonin TCP-1, conserved site";5;0,33288948069241;0,00295327165331948;4,97386167826012;1397;9;18559;7,38049789230892;"b"
"8";"INTERPRO";"IPR002423:Chaperonin Cpn60/TCP-1";7;0,466045272969374;0,000742775148876505;1,27355588965551;1397;16;18559;5,81214209019327;"b"
"9";"INTERPRO";"IPR017998:Chaperone tailless complex polypeptide 1 (TCP-1)";6;0,399467376830892;0,00120929768874693;2,06562270798387;1397;12;18559;6,64244810307802;"b"
"10";"INTERPRO";"IPR027409:GroEL-like apical domain";7;0,466045272969374;0,000742775148876505;1,27355588965551;1397;16;18559;5,81214209019327;"b"
"11";"INTERPRO";"IPR027413:GroEL-like equatorial domain";7;0,466045272969374;0,000495645946893103;0,851536188790103;1397;15;18559;6,19961822953949;"b"
"12";"INTERPRO";"IPR000504:RNA recognition motif domain";25;2,53036437246964;0,000389540263922809;0,64832152077845;924;226;18559;2,22184710569666;"c"
"13";"INTERPRO";"IPR011989:Armadillo-like helical";29;2,93522267206478;7,4867971005381e-06;0,012497860182592;924;225;18559;2,5887974987975;"c"
"14";"INTERPRO";"IPR012677:Nucleotide-binding, alpha-beta plait";27;2,73279352226721;0,00072340016847546;1,2008261795467;924;264;18559;2,05419864226682;"c"
"15";"INTERPRO";"IPR016024:Armadillo-type fold";42;4,25101214574899;3,47448110563661e-07;0,00058003457636957;924;351;18559;2,4033929033929;"c"
