Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0007067~mitotic nuclear division	59	5.97165991902834	2.0079663270930734E-11	NM_018454, NM_014956, NM_005862, NM_182620, NM_152709, NM_022346, NM_001008938, NM_133433, NM_006341, NM_020935, NM_003072, NM_004869, NM_005445, NM_002956, NM_004723, NM_002497, NM_012120, NM_007044, NM_018998, NM_003292, NM_016343, NM_001786, NM_017975, NM_001761, NM_017785, NM_003384, NM_002265, NM_017669, NM_004523, NM_001813, NM_018131, NM_001032290, NM_001274, NM_002358, NM_014875, NM_006628, NM_014708, NM_020461, NM_003611, NM_001001330, NM_001039591, NM_014750, NM_018063, NM_207168, NM_018685, NM_024039, NM_012177, NM_006101, NM_031423, NM_014173, NM_004344, NM_144508, NM_006447, NM_016478, NM_015503, NM_004859, NM_017553, NM_014043, NM_022045	862	431	16650	2.644123362815661	1.2672307758698764E-7	1.2672307758698764E-7	3.9149439245989015E-8
GOTERM_BP_FAT	GO:0051301~cell division	68	6.882591093117409	3.446837454116227E-10	NM_018098, NM_001348, NM_018454, NM_145800, NM_014956, NM_005862, NM_182620, NM_152709, NM_005154, NM_001008938, NM_022346, NM_006341, NM_020935, NM_004869, NM_005445, NM_004723, NM_002497, NM_012120, NM_007044, NM_003292, NM_016343, NM_001786, NM_017975, NM_017785, NM_001761, NM_003384, NM_017669, NM_004523, NM_001813, NM_024790, NM_018131, NM_001032290, NM_002358, NM_014875, NM_003503, NM_001067, NM_006628, NM_014708, NM_006958, NM_001098525, NM_005882, NM_002069, NM_001001330, NM_001039591, NM_006221, NM_018063, NM_207168, NM_018685, NM_014846, NM_032510, NM_024039, NM_012177, NM_006101, NM_002647, NM_000057, NM_031423, NM_014173, NM_004344, NM_144508, NM_018243, NM_006447, NM_016478, NM_007018, NM_004859, NM_015891, NM_016009, NM_017553, NM_014043	862	575	16650	2.2842731766367397	2.1752966292698517E-6	1.0876489061617534E-6	6.720301870544176E-7
GOTERM_BP_FAT	GO:0048285~organelle fission	70	7.08502024291498	1.533297641452288E-9	NM_001348, NM_018454, NM_014956, NM_005862, NM_182620, NM_152709, NM_018206, NM_015560, NM_133433, NM_001008938, NM_022346, NM_006341, NM_020935, NM_003072, NM_004869, NM_005445, NM_002956, NM_004723, NM_002497, NM_005591, NM_012120, NM_007044, NM_032444, NM_018998, NM_003292, NM_014637, NM_016343, NM_001786, NM_017975, NM_017785, NM_001761, NM_003384, NM_017669, NM_002265, NM_004523, NM_001813, NM_018131, NM_001032290, NM_001274, NM_002358, NM_014875, NM_001067, NM_006628, NM_014708, NM_020461, NM_003611, NM_001001330, NM_001039591, NM_006221, NM_014750, NM_018063, NM_207168, NM_018685, NM_000251, NM_014846, NM_012415, NM_024039, NM_012177, NM_006101, NM_031423, NM_014173, NM_004344, NM_144508, NM_015503, NM_006447, NM_016478, NM_004859, NM_017553, NM_014043, NM_022045	862	622	16650	2.173775188188688	9.67659434247814E-6	3.2255418516147216E-6	2.9894717368250667E-6
GOTERM_BP_FAT	GO:0000280~nuclear division	67	6.781376518218623	1.5490647928615975E-9	NM_001348, NM_018454, NM_014956, NM_005862, NM_182620, NM_152709, NM_133433, NM_001008938, NM_022346, NM_006341, NM_020935, NM_003072, NM_004869, NM_005445, NM_002956, NM_004723, NM_002497, NM_005591, NM_012120, NM_007044, NM_032444, NM_018998, NM_003292, NM_016343, NM_001786, NM_017975, NM_017785, NM_001761, NM_003384, NM_002265, NM_017669, NM_004523, NM_001813, NM_018131, NM_001032290, NM_001274, NM_002358, NM_014875, NM_001067, NM_006628, NM_014708, NM_020461, NM_003611, NM_001001330, NM_001039591, NM_006221, NM_014750, NM_018063, NM_207168, NM_018685, NM_000251, NM_014846, NM_012415, NM_024039, NM_012177, NM_006101, NM_031423, NM_014173, NM_004344, NM_144508, NM_015503, NM_006447, NM_016478, NM_004859, NM_017553, NM_014043, NM_022045	862	583	16650	2.2197967947212796	9.77609995533868E-6	2.444033948778568E-6	3.0202130019141293E-6
GOTERM_BP_FAT	GO:0000278~mitotic cell cycle	95	9.615384615384617	1.910117923221589E-9	NM_001018160, NM_001348, NM_018454, NM_001014432, NM_014956, NM_005862, NM_182620, NM_000944, NM_176096, NM_152709, NM_006286, NM_005154, NM_133433, NM_001008938, NM_022346, NM_006341, NM_006930, NM_021198, NM_020935, NM_005192, NM_003072, NM_004869, NM_016038, NM_006197, NM_005445, NM_002956, NM_004723, NM_002497, NM_005591, NM_012120, NM_007044, NM_018998, NM_079421, NM_003292, NM_007111, NM_005085, NM_001786, NM_016343, NM_017975, NM_017785, NM_001761, NM_003384, NM_017669, NM_002265, NM_004523, NM_003591, NM_001813, NM_006231, NM_018131, NM_001032290, NM_001274, NM_002358, NM_014875, NM_001378, NM_003503, NM_001067, NM_006628, NM_014708, NM_032142, NM_144567, NM_020461, NM_001044390, NM_001042453, NM_001044391, NM_001098525, NM_003611, NM_016542, NM_014984, NM_001001330, NM_001039591, NM_006221, NM_018063, NM_014750, NM_015584, NM_000251, NM_207168, NM_018685, NM_006031, NM_024039, NM_012177, NM_006101, NM_001253, NM_000057, NM_031423, NM_014173, NM_007027, NM_004344, NM_144508, NM_016937, NM_015503, NM_007018, NM_006447, NM_016478, NM_004859, NM_017553, NM_014043, NM_022045	862	968	16650	1.895637188165136	1.2054681752693419E-5	2.4109479758172014E-6	3.724158714746295E-6
GOTERM_BP_FAT	GO:1903047~mitotic cell cycle process	89	9.008097165991904	2.7760369725457553E-9	NM_001018160, NM_018454, NM_001014432, NM_014956, NM_005862, NM_182620, NM_000944, NM_176096, NM_152709, NM_006286, NM_005154, NM_133433, NM_001008938, NM_022346, NM_006341, NM_006930, NM_021198, NM_020935, NM_005192, NM_003072, NM_004869, NM_016038, NM_006197, NM_005445, NM_002956, NM_004723, NM_002497, NM_005591, NM_012120, NM_007044, NM_079421, NM_018998, NM_003292, NM_007111, NM_005085, NM_001786, NM_016343, NM_017975, NM_017785, NM_001761, NM_003384, NM_017669, NM_002265, NM_004523, NM_003591, NM_001813, NM_006231, NM_018131, NM_001032290, NM_001274, NM_002358, NM_014875, NM_001378, NM_003503, NM_001067, NM_006628, NM_014708, NM_032142, NM_020461, NM_001044390, NM_001044391, NM_001098525, NM_003611, NM_014984, NM_001001330, NM_001039591, NM_018063, NM_014750, NM_000251, NM_207168, NM_018685, NM_006031, NM_024039, NM_012177, NM_006101, NM_000057, NM_031423, NM_014173, NM_007027, NM_004344, NM_144508, NM_016937, NM_015503, NM_007018, NM_006447, NM_016478, NM_004859, NM_017553, NM_014043, NM_022045	862	890	16650	1.931554524361949	1.7519415785982595E-5	2.9199239458543857E-6	5.412441739238716E-6
GOTERM_CC_FAT	GO:0005829~cytosol	262	26.518218623481783	3.004862213787597E-9	NM_138769, NM_015599, NM_001014432, NM_138930, NM_001014438, NM_033500, NM_014956, NM_182620, NM_000365, NM_005999, NM_017657, NM_021154, NM_016289, NM_003250, NM_004208, NM_006197, NM_003136, NM_002497, NM_005085, NM_001003786, NM_005346, NM_017669, NM_001037277, NM_199229, NM_004094, NM_016451, NM_080875, NM_001047160, NM_139241, NM_024876, NM_001032290, NM_016128, NM_014408, NM_001075098, NM_000995, NM_005499, NM_000281, NM_007315, NM_004330, NM_016437, NM_001032288, NM_181581, NM_001042517, NM_006221, NM_012437, NM_006715, NM_000254, NM_032510, NM_006494, NM_012177, NM_002477, NM_001001, NM_001002, NM_016631, NM_001035267, NM_004344, NM_177536, NM_006708, NM_016008, NM_000975, NM_006085, NM_014043, NM_021090, NM_016106, NM_013943, NM_003870, NM_018098, NM_022079, NM_007202, NM_013434, NM_015161, NM_005862, NM_003878, NM_005861, NM_145808, NM_001619, NM_015904, NM_001008938, NM_006154, NM_012197, NM_006153, NM_005388, NM_001077442, NM_004723, NM_080632, NM_005591, NM_006826, NM_079421, NM_001786, NM_002265, NM_003384, NM_007114, NM_012398, NM_005188, NM_006164, NM_130473, NM_001128, NM_003100, NM_002358, NM_001378, NM_014708, NM_001012398, NM_032378, NM_013247, NM_001079673, NM_015533, NM_003611, NM_030621, NM_016542, NM_015137, NM_203446, NM_006031, NM_002601, NM_001748, NM_002645, NM_002748, NM_002647, NM_007235, NM_004604, NM_198329, NM_031229, NM_005895, NM_176824, NM_003359, NM_006251, NM_007018, NM_005746, NM_000155, NM_006547, NM_006548, NM_001018160, NM_004161, NM_178314, NM_203504, NM_001006115, NM_001042476, NM_000801, NM_206907, NM_023018, NM_004685, NM_015713, NM_005154, NM_001690, NM_005406, NM_006930, NM_015423, NM_022493, NM_001549, NM_001493, NM_019593, NM_000170, NM_018706, NM_006938, NM_004869, NM_015092, NM_018085, NM_019850, NM_018463, NM_017975, NM_016343, NM_017785, NM_022170, NM_018174, NM_001077619, NM_000561, NM_016337, NM_015527, NM_031902, NM_002221, NM_015627, NM_001274, NM_144772, NM_033259, NM_018178, NM_001278, NM_012228, NM_020461, NM_015246, NM_021130, NM_152233, NM_021126, NM_004463, NM_004987, NM_001039591, NM_144767, NM_002824, NM_021129, NM_004136, NM_024039, NM_005843, NM_006141, NM_015702, NM_004444, NM_032989, NM_022473, NM_018482, NM_015503, NM_006421, NM_004859, NM_181311, NM_014899, NM_033550, NM_152716, NM_014329, NM_015102, NM_002731, NM_004068, NM_003283, NM_000944, NM_032025, NM_003400, NM_018206, NM_022346, NM_001019, NM_080599, NM_002541, NM_004442, NM_005445, NM_018049, NM_033406, NM_002956, NM_181652, NM_004193, NM_006301, NM_018129, NM_004523, NM_197968, NM_003591, NM_001813, NM_004531, NM_014783, NM_182905, NM_002056, NM_080687, NM_014875, NM_001009555, NM_178270, NM_032142, NM_014380, NM_001018104, NM_001089704, NM_001042453, NM_015878, NM_001013839, NM_199442, NM_014984, NM_014846, NM_138957, NM_005125, NM_001009182, NM_006101, NM_003568, NM_031423, NM_016485, NM_001033566, NM_001316, NM_144508, NM_058166, NM_003932, NM_003971, NM_001017391, NM_001695, NM_003930, NM_018343	813	3399	14527	1.3773221050833635	2.4970374141730645E-6	2.4970374141730645E-6	4.63550940965618E-6
GOTERM_BP_FAT	GO:0007049~cell cycle	141	14.271255060728743	4.0863223747213914E-9	NM_001018160, NM_001348, NM_018454, NM_001014432, NM_206907, NM_014956, NM_182620, NM_006339, NM_152709, NM_006286, NM_005154, NM_133433, NM_016289, NM_006341, NM_006930, NM_020935, NM_004869, NM_006197, NM_002497, NM_007044, NM_032444, NM_018998, NM_001003786, NM_005085, NM_017975, NM_016343, NM_017785, NM_017669, NM_198157, NM_001032290, NM_001274, NM_001067, NM_020461, NM_152236, NM_002069, NM_001039591, NM_006221, NM_018063, NM_015584, NM_014750, NM_000251, NM_018685, NM_012415, NM_032510, NM_021970, NM_024039, NM_006494, NM_012177, NM_000057, NM_032989, NM_004344, NM_016628, NM_004337, NM_015434, NM_015503, NM_021145, NM_004859, NM_016009, NM_017553, NM_014043, NM_002731, NM_022045, NM_100486, NM_018098, NM_145800, NM_005862, NM_152734, NM_000944, NM_176096, NM_145018, NM_003400, NM_022346, NM_001008938, NM_001019, NM_012197, NM_020307, NM_021198, NM_005192, NM_003072, NM_005190, NM_016038, NM_005445, NM_002956, NM_004723, NM_016408, NM_012120, NM_005591, NM_079421, NM_004193, NM_003292, NM_007111, NM_001786, NM_001761, NM_003384, NM_002265, NM_004523, NM_003591, NM_024790, NM_001813, NM_006231, NM_018131, NM_021645, NM_007299, NM_002358, NM_018365, NM_014875, NM_003503, NM_001378, NM_006628, NM_014708, NM_032142, NM_144567, NM_000346, NM_032477, NM_013247, NM_139343, NM_001044390, NM_001042453, NM_001044391, NM_001098525, NM_006958, NM_005882, NM_003611, NM_016542, NM_014984, NM_001001330, NM_207168, NM_006031, NM_014846, NM_138957, NM_002748, NM_001253, NM_006101, NM_002647, NM_031423, NM_014173, NM_007027, NM_144508, NM_018243, NM_006251, NM_016937, NM_007018, NM_016478, NM_006447, NM_022092	862	1672	16650	1.6288827029607345	2.5788448138164277E-5	3.6841047373892266E-6	7.96710634132225E-6
GOTERM_CC_FAT	GO:0005813~centrosome	62	6.275303643724696	4.706236542024503E-9	NM_178314, NM_014956, NM_176096, NM_152709, NM_022346, NM_001008938, NM_005406, NM_012197, NM_006930, NM_006531, NM_004869, NM_006197, NM_002956, NM_002497, NM_007044, NM_174887, NM_207296, NM_016343, NM_001786, NM_001761, NM_005346, NM_017669, NM_024790, NM_182905, NM_001007022, NM_006164, NM_018131, NM_001274, NM_033259, NM_002419, NM_001378, NM_001067, NM_032142, NM_020461, NM_001042453, NM_014749, NM_001098525, NM_014183, NM_004330, NM_001013839, NM_016437, NM_003611, NM_002069, NM_016542, NM_014984, NM_138792, NM_016261, NM_014750, NM_006031, NM_022756, NM_005803, NM_145647, NM_006141, NM_007027, NM_176824, NM_004344, NM_001080398, NM_007018, NM_015102, NM_017917, NM_152515, NM_002731, NM_013943	813	496	14527	2.2335485854858548	3.910874902812722E-6	1.9554393633214318E-6	7.260167556033537E-6
UP_SEQ_FEATURE	splice variant	461	46.65991902834008	6.099369751139594E-9	NM_052989, NM_176877, NM_005095, NM_001014438, NM_138930, NM_006484, NM_016147, NM_000365, NM_004910, NM_005339, NM_006339, NM_017657, NM_032725, NM_016657, NM_016464, NM_005481, NM_004208, NM_032821, NM_002499, NM_002497, NM_007044, NM_032534, NM_007041, NM_005085, NM_032632, NM_005087, NM_024881, NM_078471, NM_080875, NM_001047160, NM_001007022, NM_139244, NM_153252, NM_016648, NM_139241, NM_024876, NM_004214, NM_130434, NM_024731, NM_001520, NM_001008401, NM_138392, NM_016125, NM_007315, NM_015578, NM_016121, NM_181581, NM_001042517, NM_019624, NM_001007157, NM_016586, NM_012414, NM_017547, NM_002477, NM_016631, NM_006595, NM_016628, NM_016008, NM_058237, NM_016622, NM_032853, NM_016009, NM_017554, NM_001207, NM_016108, NM_001407, NM_022079, NM_100486, NM_013434, NM_005861, NM_176096, NM_015560, NM_001008938, NM_153207, NM_007007, NM_020307, NM_005192, NM_024631, NM_080632, NM_016035, NM_005591, NM_016408, NM_017623, NM_007114, NM_005189, NM_020313, NM_001093756, NM_024835, NM_024959, NM_130473, NM_032776, NM_024955, NM_177967, NM_145243, NM_001012398, NM_024507, NM_001040057, NM_148957, NM_017798, NM_173824, NM_001079673, NM_024604, NM_005882, NM_005698, NM_016261, NM_178426, NM_024612, NM_019858, NM_001080415, NM_176824, NM_005895, NM_024819, NM_006251, NM_006447, NM_007018, NM_000016, NM_000018, NM_130906, NM_024813, NM_024715, NM_022092, NM_006547, NR_002944, NM_006548, NM_001080420, NM_001042470, NM_203504, NM_144987, NM_206907, NM_018845, NM_152709, NM_002114, NM_015713, NM_006286, NM_139179, NM_173511, NM_020145, NM_022493, NM_020246, NM_015092, NM_021915, NM_020245, NM_015117, NM_018998, NM_005826, NM_144978, NM_198158, NM_022170, NM_198155, NM_018079, NM_000561, NM_018170, NM_015527, NM_031902, NM_182498, NM_002221, NM_144772, NM_015314, NM_015124, NM_007152, NM_001067, NM_001005742, NM_198045, NM_020461, NM_003704, NM_015246, NM_152236, NM_181308, NM_014887, NM_144767, NM_018063, NM_014750, NM_001286, NM_032288, NM_001095, NM_005702, NM_020473, NM_006296, NM_005843, NM_152246, NM_145647, NM_014612, NM_173529, NM_015434, NM_015503, NM_181311, NM_152716, NM_022045, NM_001294, NM_002731, NM_015473, NM_005113, NM_020383, NM_003283, NM_032025, NM_003926, NM_005056, NM_031934, NM_015058, NM_002956, NM_016609, NM_182801, NM_181652, NM_001008697, NM_174887, NM_003297, NM_001813, NM_018131, NM_020213, NM_007299, NM_002056, NM_003818, NM_031946, NM_032142, NM_015491, NM_015496, NM_138962, NM_001018104, NM_001044390, NM_001044391, NM_014183, NM_032046, NM_032682, NM_003801, NM_014984, NM_001031812, NM_001136570, NM_015030, NM_007166, NM_014170, NM_001009182, NM_003980, NM_014173, NM_000688, NM_002972, NM_007171, NM_144508, NM_020234, NM_058166, NM_022374, NM_013995, NM_014997, NM_003971, NM_152293, NM_138769, NM_152581, NM_033500, NM_014956, NM_021154, NM_014153, NM_134470, NM_003250, NM_001014763, NM_003635, NM_145062, NM_005600, NM_006197, NM_003843, NM_172358, NM_001031732, NM_182715, NM_032444, NM_001003786, NM_001025580, NR_003665, NM_199229, NM_032102, NM_000899, NM_001032290, NM_001009882, NM_021070, NM_001077198, NM_022734, NM_001075098, NM_022902, NM_017828, NM_000623, NM_006899, NM_206886, NM_001032288, NM_003466, NM_017830, NM_001007466, NM_023079, NM_138792, NM_018685, NM_003119, NM_001031712, NM_015196, NM_031263, NM_015395, NM_001098622, NM_021145, NM_014423, NM_019112, NM_003664, NM_000975, NM_006702, NM_022918, NM_006085, NM_021090, NM_006706, NM_138430, NM_018098, NM_145800, NM_138729, NM_152734, NM_018091, NM_145018, NM_013269, NM_015257, NM_006154, NM_012197, NM_015948, NM_003110, NM_021198, NM_001077440, NM_001077442, NM_152482, NM_004726, NM_031243, NM_004723, NM_032344, NM_024319, NM_001786, NM_006765, NM_006164, NM_003060, NM_145753, NM_182752, NM_001378, NM_006628, NM_144568, NM_144567, NM_032378, NM_153613, NM_201575, NM_013247, NM_001039937, NM_003611, NM_001001330, NM_173566, NM_015137, NM_203446, NM_178181, NM_181806, NM_006844, NM_198467, NM_198329, NM_031229, NM_198129, NM_014001, NM_001018069, NM_015916, NM_015911, NM_003040, NM_017917, NM_012086, NM_173694, NM_207380, NM_000804, NM_018454, NM_004161, NM_001002260, NM_178314, NM_024006, NM_024298, NM_001044722, NM_130395, NM_017987, NM_005689, NM_004685, NM_023012, NM_133433, NM_025262, NM_006930, NM_018314, NM_006932, NM_006531, NM_001003712, NM_019028, NM_207009, NM_019022, NM_019850, NM_207296, NM_178031, NM_017975, NM_005676, NM_017785, NM_000408, NM_152636, NM_005680, NM_016337, NM_006502, NM_025000, NM_207122, NM_020854, NM_001039591, NM_005574, NM_033655, NM_018480, NM_001039091, NM_018482, NM_004649, NM_017757, NM_004859, NM_014329, NM_017898, NM_152515, NM_025155, NM_004068, NM_001136499, NM_000944, NM_031431, NM_018210, NM_080599, NM_001001788, NM_033540, NM_033409, NM_004263, NM_004442, NM_033406, NM_004425, NM_012218, NM_018217, NM_022771, NM_022770, NM_199478, NM_024790, NM_182551, NM_022780, NR_003109, NM_001001586, NM_018364, NM_080687, NM_017733, NM_001009555, NM_178270, NR_003249, NM_183008, NM_032810, NM_139343, NR_003104, NM_001098525, NM_016475, NM_003426, NM_001013839, NM_182689, NM_014279, NM_001001479, NM_207168, NM_001078650, NM_012143, NM_022756, NM_012140, NM_001079514, NM_001033561, NM_024887, NM_016488, NM_001033566, NM_001316, NM_018243, NM_014474, NM_016478, NM_020781, NM_017719, NM_001017391, NM_152550	969	7760	20063	1.230017527901014	1.4845755907599845E-5	1.4845755907599845E-5	1.0727178756386735E-5
