Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_FAT	GO:0019899~enzyme binding	53	16.510903426791277	2.1011723429749305E-5	NM_003773, NM_007204, NM_001613, NM_000546, NM_007200, NM_173079, NM_003309, NM_018095, NM_015368, NM_005302, NM_005955, NM_004584, NM_000411, NM_003017, NM_001821, NM_139032, NM_003651, NM_170662, NM_000952, NM_007155, NM_016376, NM_197967, NM_004475, NM_015089, NM_197966, NM_018034, NM_198850, NM_018715, NM_144628, NM_001042496, NM_007315, NM_001240, NM_020983, NM_003703, NM_002230, NM_000663, NM_198291, NM_021137, NM_004846, NM_006035, NM_205862, NM_003217, NM_015705, NM_012179, NM_138972, NM_003362, NM_001005376, NM_012339, NM_021979, NM_138821, NM_004175, NM_002576, NM_000876, NM_016395	253	1789	15478	1.8124241908721945	0.01613171224299781	0.01613171224299781	0.0321082342527923
GOTERM_CC_FAT	GO:0005739~mitochondrion	53	16.510903426791277	4.5326348408578605E-5	NM_017421, NM_032169, NM_002306, NM_015657, NM_016491, NM_000546, NM_001100169, NM_002778, NM_013267, NM_006440, NM_021100, NM_016462, NM_021159, NM_014673, NM_004111, NM_000411, NM_014672, NM_000375, NM_001089591, NM_032300, NM_032014, NM_006118, NM_203314, NM_197967, NM_197966, NM_003062, NM_007198, NM_003951, NM_031212, NM_015493, NM_003703, NM_000663, NM_198291, NM_001080, NM_002563, NM_019008, NM_031458, NM_006004, NM_001010867, NM_014170, NM_003321, NM_003217, NM_012179, NM_021151, NM_003362, NM_019041, NM_021979, NM_004552, NM_004786, NM_022100, NM_016395, NM_175859, NM_024754, NM_017918	257	1700	14527	1.7622590981918058	0.023471696899531214	0.023471696899531214	0.06568190397168161
GOTERM_BP_FAT	GO:0006643~membrane lipid metabolic process	12	3.7383177570093453	4.955872394406798E-4	NM_144660, NM_001042437, NM_000310, NM_002643, NM_018414, NM_139280, NM_001005376, NM_016395, NM_006456, NM_002778, NM_001080, NM_004278	270	204	16650	3.627450980392157	0.8774010099221092	0.8774010099221092	0.9225664201671036
GOTERM_BP_FAT	GO:2001242~regulation of intrinsic apoptotic signaling pathway	10	3.115264797507788	8.250725808541331E-4	NM_003651, NM_003217, NM_197967, NM_197966, NM_000546, NM_015913, NM_004584, NM_001005376, NM_198291, NM_004083, NM_139032	270	152	16650	4.057017543859649	0.9696451580516173	0.8257735899802138	1.5314590938331207
GOTERM_MF_FAT	GO:0044822~poly(A) RNA binding	35	10.903426791277258	0.0010171835205427292	NM_002948, NM_002306, NM_016047, NM_016491, NM_144706, NM_005626, NM_000903, NM_003703, NM_002116, NM_001100169, NM_021035, NM_016024, NM_007104, NM_005999, NM_001024227, NM_002897, NM_004846, NM_003017, NM_003487, NM_001010867, NM_015840, NM_003321, NM_003651, NM_006026, NM_001093725, NM_002685, NM_147133, NM_032014, NM_005243, NM_004175, NM_030961, NM_002810, NM_018715, NM_022100, NM_024754	253	1196	15478	1.7903221542162941	0.5451104928511117	0.3255450295617295	1.543359458938176
GOTERM_BP_FAT	GO:1902589~single-organism organelle organization	43	13.395638629283487	0.0012945624197985188	NM_004781, NM_018455, NM_003390, NM_030672, NM_031885, NM_000546, NM_007200, NM_002966, NM_023019, NM_002230, NM_001100169, NM_198291, NM_014784, NM_134428, NM_018087, NM_019008, NM_021137, NM_024596, NM_001664, NM_001024227, NM_021159, NM_006035, NM_022909, NM_004111, NM_005554, NM_012179, NM_003218, NM_057088, NM_032300, NM_199346, NM_021979, NM_138821, NM_002576, NM_006118, NM_016376, NM_197967, NM_015089, NM_197966, NM_018715, NM_001042426, NM_015693, NM_004930, NM_144628, NM_178270	270	1612	16650	1.6449545078577337	0.9958503372513257	0.8393042957056371	2.3929652631475395
GOTERM_BP_FAT	GO:0006913~nucleocytoplasmic transport	18	5.607476635514018	0.0015440480131200208	NM_015840, NM_007204, NM_003773, NM_170662, NM_005626, NM_000546, NM_007200, NM_002230, NM_016024, NM_004175, NM_017681, NM_018087, NM_006410, NM_001664, NM_017939, NM_003017, NM_012403, NM_139032	270	465	16650	2.3870967741935485	0.9985591925527459	0.8051719489325035	2.8478594753572395
GOTERM_BP_FAT	GO:0046467~membrane lipid biosynthetic process	9	2.803738317757009	0.0018211148317201513	NM_144660, NM_001042437, NM_002643, NM_018414, NM_139280, NM_001005376, NM_016395, NM_006456, NM_004278	270	138	16650	4.021739130434782	0.999555086055354	0.7863734614494815	3.3506914461949866
GOTERM_BP_FAT	GO:0051169~nuclear transport	18	5.607476635514018	0.00182889227838922	NM_015840, NM_007204, NM_003773, NM_170662, NM_005626, NM_000546, NM_007200, NM_002230, NM_016024, NM_004175, NM_017681, NM_018087, NM_006410, NM_001664, NM_017939, NM_003017, NM_012403, NM_139032	270	473	16650	2.346723044397463	0.9995695242619222	0.7252159966236016	3.364770660933969
GOTERM_BP_FAT	GO:0046907~intracellular transport	42	13.084112149532709	0.0018893298805918045	NM_002948, NM_004781, NM_007204, NM_003773, NM_005626, NM_000546, NM_014742, NM_007200, NM_173079, NM_023019, NM_002230, NM_016024, NM_198291, NM_007104, NM_013267, NM_018087, NM_006410, NM_019008, NM_001664, NM_001024227, NM_005128, NM_003017, NM_001821, NM_139032, NM_015840, NM_170662, NM_012179, NM_015705, NM_152415, NM_021930, NM_017681, NM_004175, NM_007155, NM_006118, NM_016376, NM_197967, NM_197966, NM_017939, NM_004318, NM_012403, NM_198597, NM_144628, NM_178270	270	1594	16650	1.6248431618569636	0.9996668737531872	0.6814116901175353	3.4741124073515928
