"";"REFSEQ_MRNA";"logFC"
"ILMN_1698554";"NM_023928";NA
"ILMN_3237396";"NM_024666";NA
"ILMN_1688755";"NM_014911";NA
"ILMN_1653165";"NM_001087";NA
"ILMN_1662364";"NM_001605";NA
"ILMN_1678323";"NM_005763";NA
"ILMN_2157219";"NM_005763";NA
"ILMN_1699334";"NM_001080395";NA
"ILMN_1665730";"NM_012089";NA
"ILMN_1687840";"NM_004299";NA
"ILMN_2392635";"NM_001025091";NA
"ILMN_2338268";"NM_148916";NA
"ILMN_1737475";"NM_148912";NA
"ILMN_1655702";"NM_016006";NA
"ILMN_1775944";"XM_001126750";NA
"ILMN_1724497";"XM_001126750";NA
"ILMN_1720988";"XM_001126750";NA
"ILMN_1785424";"NM_006720";NA
"ILMN_1731610";"NM_006720";NA
"ILMN_2396672";"NM_001003407";NA
"ILMN_2331636";"NM_198836";NA
"ILMN_1772123";"NM_198839";NA
"ILMN_2133799";"NM_005891";NA
"ILMN_1676288";"NM_024722";NA
"ILMN_1761000";"NM_001010887";NA
"ILMN_1658995";"NM_001033583";NA
"ILMN_1669633";"NM_007099";NA
"ILMN_2344956";"NM_001040649";NA
"ILMN_2234343";"NM_016361";NA
"ILMN_2152131";"NM_001101";NA
"ILMN_2038777";"NM_001101";NA
"ILMN_1798254";"NM_018477";NA
"ILMN_1652594";"NM_024855";NA
"ILMN_1689162";"NM_022899";NA
"ILMN_2152711";"NM_001616";NA
"ILMN_1683883";"NM_000666";NA
"ILMN_2158705";"NM_138448";NA
"ILMN_1713751";"NM_033274";NA
"ILMN_3247424";"NM_006869";NA
"ILMN_1657139";"NM_012091";NA
"ILMN_2120555";"NM_021116";NA
"ILMN_1676893";"NM_004036";NA
"ILMN_2311278";"NM_001121";NA
"ILMN_1738604";"NM_000671";NA
"ILMN_1768062";"NM_006721";NA
"ILMN_1793959";"NM_031284";NA
"ILMN_1811480";"NM_017825";NA
"ILMN_1677868";"NM_000682";NA
"ILMN_2389013";"NM_175573";NA
"ILMN_1760143";"NM_175573";NA
"ILMN_1790757";"NM_000026";NA
"ILMN_2240009";"NM_152328";NA
"ILMN_1694140";"NM_152406";NA
"ILMN_1730995";"NM_001001936";NA
"ILMN_2129015";"NM_005935";NA
"ILMN_1703228";"NM_006076";NA
"ILMN_1772645";"NM_018238";NA
"ILMN_2371825";"NM_000645";NA
"ILMN_1664006";"NM_000642";NA
"ILMN_1707169";"NM_024758";NA
"ILMN_1679520";"NM_006411";NA
"ILMN_1657862";"NM_000687";NA
"ILMN_1812640";"NM_001621";NA
"ILMN_1798308";"NM_152392";NA
"ILMN_1712639";"NM_032797";NA
"ILMN_1673252";"NM_006303";NA
"ILMN_2261519";"NM_000383";NA
"ILMN_1670542";"NM_001625";NA
