"";"REFSEQ_MRNA";"logFC"
"ILMN_3241953";"NM_033110";-0,37026645007434
"ILMN_1755321";"NM_015665";-0,451047534262542
"ILMN_1676336";"NM_020792";0,693739298591026
"ILMN_1677814";"NM_003786";0,618788843683669
"ILMN_1788457";"NM_005845";0,829164568401648
"ILMN_1706531";"NM_005688";-0,761122480938197
"ILMN_1651964";"NM_001023587";-0,760424176538317
"ILMN_1658176";"NM_207629";-0,476945372186727
"ILMN_2318685";"NM_001042472";-1,00124054430768
"ILMN_2245305";"NM_001042472";-0,50954151094742
"ILMN_1743396";"NM_003501";-0,542362977662468
"ILMN_1684585";"NM_001995";-0,608801251839218
"ILMN_1714197";"NM_018677";-0,258007757549416
"ILMN_2243308";"NM_004302";-0,312973742180274
"ILMN_1776777";"NM_001111";-0,350900672486459
"ILMN_2356786";"NM_001119";-0,625950513712582
"ILMN_1759252";"NM_176801";-0,348788309330535
"ILMN_1702858";"NM_144650";-0,640807961309119
"ILMN_1801020";"NM_001123";-0,145424376651345
"ILMN_1702933";"NM_024866";0,465236009436599
"ILMN_1703946";"NM_000676";0,754744189056613
"ILMN_1695590";"NM_000024";0,130304519692263
"ILMN_1720235";"NM_152328";-0,926484392974792
"ILMN_1730504";"NM_020133";-0,833456595917101
"ILMN_1662049";"NM_018361";1,04461649072167
"ILMN_1673529";"NM_153373";-0,495324561389334
"ILMN_1712786";"NM_015328";-1,19384849988606
"ILMN_1792495";"NM_001620";-0,795847818929015
"ILMN_1752159";"NM_024060";-1,05292070239433
"ILMN_3243156";"NM_138420";-0,790572967804593
"ILMN_1688625";"NM_001624";0,582885183158148
"ILMN_3307874";"NM_001039775";-0,739083145415808
"ILMN_1655645";"NM_013411";0,415575198414539
"ILMN_1712530";"NM_003488";-0,522150503981857
"ILMN_2308950";"NM_005100";0,522239620933823
"ILMN_1728047";"NM_006066";-0,581322360430503
"ILMN_2096372";"NM_000689";-1,44009929445397
"ILMN_1709348";"NM_000689";-1,6355658950714
"ILMN_1807439";"NM_000693";0,391741124380838
"ILMN_1793859";"NM_000690";-1,14530675149149
"ILMN_1763666";"NM_001031615";-0,655965607694698
"ILMN_2406557";"NM_170726";-0,878846211648352
"ILMN_1785284";"NM_005589";-0,868099270637886
"ILMN_1730304";"NM_001013620";0,61914511716518
"ILMN_1660856";"NM_001004127";0,893643647653895
"ILMN_2131293";"NM_001015050";-0,708128779878203
"ILMN_1782084";"NM_001015050";-0,741275225980373
"ILMN_1806845";"NM_001006940";0,624316823478724
"ILMN_1792409";"NM_133265";-1,53423616198026
"ILMN_1804812";"NM_022662";0,412783946383364
"ILMN_1696974";"NM_001097577";-0,78695932282658
"ILMN_1760727";"NM_001097577";-1,15372562099342
"ILMN_1689908";"NM_033121";-0,596553390361095
"ILMN_2380494";"NM_001157";-0,395324558371714
"ILMN_1694548";"NM_005139";0,581662885417396
"ILMN_1778087";"NM_001630";-0,54429701714408
"ILMN_2095610";"NM_001040084";-0,870101562317307
"ILMN_2415467";"NM_007247";-0,525048426747771
"ILMN_1766411";"NM_003916";0,257241280867191
"ILMN_2120273";"NM_003916";0,867837247327947
"ILMN_2359211";"NM_130787";-0,661564786449872
"ILMN_2319344";"NM_001641";-0,379511949980847
"ILMN_2398388";"NM_001077628";-0,61636903415741
"ILMN_1765076";"NM_018171";-0,38193357718343
"ILMN_3269719";"NM_001040118";-0,522912766774819
"ILMN_1699703";"NM_001655";0,356458353545909
"ILMN_1801833";"NM_031305";-0,991584788422307
"ILMN_1808999";"NM_153213";-1,06065581290892
"ILMN_2232463";"NM_025047";1,16853310467633
"ILMN_1769810";"NM_006407";-0,272471179306171
"ILMN_2052598";"NM_031905";0,352513506228224
"ILMN_1781151";"NM_015396";0,480171940450221
"ILMN_1679318";"NM_024590";0,663024774385642
"ILMN_2173740";"NM_024095";-0,548700349104442
"ILMN_1723412";"NM_005170";-0,62398792513997
"ILMN_1726025";"NM_015338";-0,400045866025621
"ILMN_1700923";"NM_032852";0,562154510757225
"ILMN_2180315";"NM_032885";-0,33139755857474
"ILMN_1739008";"NM_001077198";-0,32009186753732
"ILMN_1680579";"NM_001001396";-0,757782220947716
"ILMN_2367753";"NM_001684";-0,86971429051437
"ILMN_2340565";"NM_001001486";0,299368159585248
"ILMN_1701269";"NM_005174";-0,256055974670931
"ILMN_1770466";"NM_001002258";-0,170200472466902
"ILMN_1752579";"NM_005177";-0,183116924624359
"ILMN_1812073";"NM_001692";-0,973408193687879
"ILMN_1787705";"NM_001693";-0,291465416322501
"ILMN_1797310";"NM_015994";0,49659628160458
"ILMN_2099783";"NM_004231";-0,491607012972851
"ILMN_1784523";"NM_004888";0,365586188089159
"ILMN_1685978";"NM_178191";-0,485134272916408
"ILMN_2355586";"NM_139322";-0,58437026252918
"ILMN_1680955";"NM_198436";0,30705458131742
"ILMN_1690682";"NM_003782";-1,09100977825325
"ILMN_1711102";"NM_006577";0,320736471033589
"ILMN_1805725";"NM_001478";-0,358072127485695
"ILMN_1661500";"NM_003778";0,852333272117717
"ILMN_2380688";"NM_003778";0,772853116864999
"ILMN_1659766";"NM_004281";0,177382557123357
"ILMN_1808059";"NM_017843";-0,626609649742875
"ILMN_2325506";"NM_017843";-0,536895599322643
"ILMN_2255133";"NM_022893";-0,502965340935086
"ILMN_1665761";"NM_138576";-0,834291111572528
"ILMN_1737314";"NM_001706";-0,314669101529539
"ILMN_1814686";"NM_017429";-1,21829754399641
"ILMN_1751276";"NM_001709";0,914983507178161
"ILMN_2375032";"NM_001080450";0,340968511000476
"ILMN_1691436";"NM_000712";-0,467016856456498
"ILMN_1772713";"NM_014753";0,981078150332319
"ILMN_1793966";"NM_016074";-0,456191240449217
"ILMN_1782633";"NM_001031827";0,51680885466719
"ILMN_1715583";"NM_015201";0,575242220666189
"ILMN_2352921";"NM_001724";-0,664492606462882
"ILMN_2082810";"NM_013263";0,252108916376452
"ILMN_3262031";"XR_039198";0,240236021451752
"ILMN_2363489";"NM_199191";-0,470840596129616
"ILMN_1778684";"NM_199192";-0,60822147370606
"ILMN_1781580";"NM_015379";-0,446180857759229
"ILMN_3253304";"XR_015539";-0,573097113164083
"ILMN_1679800";"NM_018321";1,00714859856222
"ILMN_1734483";"NM_018045";-0,398975549575917
"ILMN_1723480";"NM_004335";-0,207760185249125
"ILMN_1705066";"NM_152322";-0,809572213530075
"ILMN_1775743";"NM_001731";-0,346151573865066
"ILMN_1770085";"NM_006763";-1,07934994504285
"ILMN_1752758";"NM_006995";-0,439753452097295
"ILMN_2373831";"NM_197974";-1,27153694666378
"ILMN_1654413";"NM_001012714";-1,08319534422691
"ILMN_1761411";"NM_024834";0,21331681724189
"ILMN_1791656";"NM_015608";0,580429805054192
"ILMN_3239861";"NM_207371";-0,842274908938987
"ILMN_1788356";"NM_182901";-0,630047838236864
"ILMN_2359029";"NM_020642";-0,386424446844028
"ILMN_1752988";"NM_182901";-0,428454227110953
"ILMN_1656463";"NM_016401";-0,223496726237577
"ILMN_2180371";"NM_013300";1,18542959456076
"ILMN_1755414";"NM_182558";0,454849684170376
"ILMN_1791792";"NM_020375";0,765508500191169
"ILMN_3244516";"NM_001109662";-0,44416984044421
"ILMN_1736995";"NM_152440";0,332706955031883
"ILMN_2391551";"NM_025138";-0,202069162890382
"ILMN_1682774";"NM_138779";0,451203971609269
"ILMN_1713744";"NM_020215";-1,0822391574714
"ILMN_1734440";"NM_022067";-0,510034133794718
"ILMN_1685781";"NM_032490";0,225620231695359
"ILMN_2193315";"NM_145231";0,372664946741541
"ILMN_1721106";"NM_024952";-1,15622630958971
"ILMN_1696708";"NM_016039";0,392502086136814
"ILMN_3187771";"NR_023922";-0,386973114832626
"ILMN_2157709";"NR_002937";-0,504120653800292
"ILMN_1686082";"NM_174891";0,391078056767934
"ILMN_1724897";"NM_021944";-0,662485956541048
"ILMN_1657744";"NM_020447";-0,384681496156028
"ILMN_1652008";"NM_033286";0,57258324189984
"ILMN_1717324";"NM_173501";0,894043913010478
