"";"REFSEQ_MRNA";"logFC"
"ILMN_1784269";"NM_181806";0,644703901549071
"ILMN_1698189";"NM_015423";0,822421384983075
"ILMN_1743205";"NM_019112";-0,28942733060381
"ILMN_2193980";"NM_005689";-0,388842003058199
"ILMN_2343047";"NM_019624";-0,460833756933842
"ILMN_2343048";"NM_019624";-0,213549764878277
"ILMN_1775579";"NM_014049";-0,304360758365895
"ILMN_2053679";"NM_000016";0,570630636411204
"ILMN_2263466";"NM_000018";-0,287320949869284
"ILMN_2352009";"NM_000018";-0,440335431010771
"ILMN_1769694";"NM_001095";-0,736977856183649
"ILMN_1694233";"NM_001107";0,137183146419233
"ILMN_2148360";"NM_001110";0,721619949648845
"ILMN_1799728";"XM_937888";-0,189083552841691
"ILMN_1751500";"NM_207195";-0,369877768949292
"ILMN_1793040";"NM_213604";-0,403074597702897
"ILMN_1700349";"NM_024876";-0,369438116921358
"ILMN_2096322";"NM_015999";-0,376735549233256
"ILMN_2224833";"NM_024551";-0,146524135551006
"ILMN_1788530";"NM_138430";-0,437328934638693
"ILMN_3307926";"NM_001619";-0,163924917919564
"ILMN_1803376";"NM_153207";0,748808081700044
"ILMN_1712944";"NM_001130";-0,330946960892534
"ILMN_1708502";"NM_014423";0,830284890971042
"ILMN_2402766";"NM_017657";0,491185426036872
"ILMN_1770454";"NM_198576";-0,372714478584363
"ILMN_1717357";"NM_004208";-0,445803026453452
"ILMN_1797974";"NM_016108";-0,396015410964139
"ILMN_1718808";"NM_007202";0,366899945240512
"ILMN_2293758";"NM_016248";1,04524909766878
"ILMN_1709101";"NM_144767";-0,322602653681129
"ILMN_2388507";"NM_001014432";-0,234340808546943
"ILMN_2377240";"NM_001012398";0,419633335880231
"ILMN_1700047";"NM_000688";-0,252473854320693
"ILMN_1696099";"NM_003748";-1,23443393035924
"ILMN_2372403";"NM_001080";-0,426033884309304
"ILMN_3243268";"NM_032834";0,448298795013828
"ILMN_1771411";"NM_013339";0,421405997013892
"ILMN_2394242";"NM_001025580";0,733324221744475
"ILMN_1736340";"NM_144567";0,676622474842347
"ILMN_2226304";"NM_020337";0,846620894513505
"ILMN_3244029";"NM_173595";-0,29991879948216
"ILMN_1739645";"NM_018685";0,786539363533379
"ILMN_1674941";"NM_001025356";0,794659766838471
"ILMN_2217601";"NM_003568";-0,650377122594508
"ILMN_2399622";"NM_001128";0,49085523138739
"ILMN_2402798";"NM_004068";-0,380309663369319
"ILMN_1768867";"NM_003664";0,333752010511155
"ILMN_2362122";"NM_012095";0,517972700529956
"ILMN_1667086";"NM_207012";0,689917911390255
"ILMN_1754531";"NM_007347";0,805872763866238
"ILMN_1815051";"NM_006595";0,88481461068112
"ILMN_1729533";"NM_144772";-0,363496936730252
"ILMN_1740938";"NM_000041";-1,09765093620859
"ILMN_2221408";"NM_006421";0,945164987144075
"ILMN_1728471";"NM_006421";1,08472858224059
"ILMN_1744830";"NM_014783";0,834871020740088
"ILMN_1703477";"NM_004723";-0,250810303036365
"ILMN_1708416";"NM_015161";0,299069060090476
"ILMN_2347314";"NM_178426";-0,588387654102046
"ILMN_1772798";"NM_006628";0,67274157251402
"ILMN_2233366";"NM_018482";0,560657921092987
"ILMN_1690963";"NM_018482";0,474676694420189
"ILMN_2169983";"NM_032810";0,830135366481173
"ILMN_1812479";"NM_007041";0,490757016426322
"ILMN_1801923";"NM_005171";0,596887595773168
"ILMN_3307158";"NM_178270";0,305098395761233
"ILMN_2410975";"NM_001077198";-0,458063013419307
"ILMN_1716384";"NM_022374";0,889032489648284
"ILMN_1737833";"NM_001007026";-0,321661025516512
"ILMN_1661428";"NM_173694";0,677313666010432
"ILMN_2415189";"NM_001001586";-0,385242098688474
"ILMN_1679178";"NM_001687";-0,272144411768489
"ILMN_1679188";"NM_001003805";-0,266705231424158
"ILMN_1711516";"NM_001690";0,459090126448245
"ILMN_1659801";"NM_001695";0,646554136933375
"ILMN_1746206";"NM_014984";-0,558133902772262
"ILMN_1656682";"NM_015878";0,797379619763092
"ILMN_1738652";"NM_032989";-0,553862784447338
"ILMN_2152402";"NM_021160";-0,512925601875363
"ILMN_1775012";"NM_176824";0,834105705276055
"ILMN_2257833";"NM_176824";0,926883519279389
"ILMN_2342084";"NM_018844";0,353443906138603
"ILMN_1796113";"NM_181708";-0,463231743258344
"ILMN_1775192";"NM_001077440";1,16429911336149
"ILMN_1684086";"NM_000623";-0,258969353818627
"ILMN_2309245";"NM_139343";-0,606278706320466
"ILMN_1709484";"NM_000057";0,957672286306568
"ILMN_2123415";"NM_001720";-0,570540113527144
"ILMN_1770803";"NM_004330";1,03740730109455
"ILMN_1712718";"NM_006085";-0,923324215082966
"ILMN_1738027";"NM_007299";0,557589981403217
"ILMN_1757794";"NM_153252";0,733500121038491
"ILMN_1691927";"NM_025238";0,433363401772145
"ILMN_1732885";"NM_032444";-0,28698343031365
"ILMN_1659762";"NM_001207";0,224306447799473
"ILMN_1749210";"NM_032725";-0,261254614627759
"ILMN_1802649";"NM_014267";0,748498524384708
"ILMN_2073263";"NM_024631";0,483812520188858
"ILMN_1773148";"NM_024631";0,475340566316774
"ILMN_1798270";"NM_020179";-0,607335037877764
"ILMN_1790100";"NM_145018";1,10020327869693
"ILMN_3240370";"NM_001085372";0,233737197132101
"ILMN_1700276";"NM_016475";0,797346514611566
"ILMN_1775330";"NM_207380";-0,84155803687942
"ILMN_1716006";"NM_173529";0,659846330853198
"ILMN_1655225";"NM_152482";-0,394121600464732
"ILMN_2396813";"NM_014173";-0,342336361552316
"ILMN_1670064";"NM_182517";-0,424133132797995
"ILMN_1790202";"NM_024319";-0,30359849985931
"ILMN_1661595";"NM_001024594";-0,700940825876224
"ILMN_1682428";"NM_144584";-0,26903052930018
"ILMN_1786470";"NM_152485";-0,260935082808086
"ILMN_1718712";"NM_022106";0,528206393540009
"ILMN_1721225";"NM_015511";-0,181557174561624
"ILMN_1740923";"NM_033409";-0,175029457411253
"ILMN_1682812";"NM_004649";-0,682696648658255
"ILMN_1737588";"NM_198155";-0,626236829028525
"ILMN_1675632";"NM_001005521";0,296373623266889
"ILMN_2331197";"NM_016631";0,221590952866997
"ILMN_2251978";"NM_016631";1,01561906463142
"ILMN_3307887";"NM_173566";0,351365327827001
"ILMN_2090558";"NM_015702";0,428092886350619
"ILMN_1804597";"NM_025000";0,744681636065862
"ILMN_1692707";"NM_001013663";-0,680455817185179
"ILMN_2078264";"NM_173824";0,387431546147344
"ILMN_1698677";"NM_017867";0,379725897946526
"ILMN_1694798";"NM_022483";0,743909183232961
"ILMN_1662184";"NM_198566";0,812464609872031
"ILMN_1726930";"NM_001093756";0,907846120910352
"ILMN_2380588";"NM_199184";-0,286101395343646
"ILMN_1783075";"NM_198468";0,634665687514675
"ILMN_1665117";"NM_152734";-0,489994666035815
"ILMN_1779751";"NM_197964";-0,490620723601678
