"";"REFSEQ_MRNA";"logFC"
"ILMN_2404407";"NM_000663";-1,0718672479839
"ILMN_2361400";"NM_015657";0,453740678630025
"ILMN_1761058";"NM_032169";0,630767351792447
"ILMN_1671703";"NM_001613";-1,40725597473051
"ILMN_2060086";"NM_003812";-0,403340992212749
"ILMN_2320964";"NM_015840";-0,540249198314752
"ILMN_1685156";"NM_020983";-0,626342933921328
"ILMN_1813975";"NM_018269";-0,766696281835561
"ILMN_2396956";"NM_007200";-0,288182711589158
"ILMN_2372398";"NM_001080";-0,437171703919685
"ILMN_1801606";"NM_001033569";-0,441980011042068
"ILMN_1659553";"NM_022662";-0,555149474333497
"ILMN_1794470";"NM_016376";-0,256637527234036
"ILMN_1710979";"NM_016466";0,477327443263148
"ILMN_1655868";"NM_012403";0,594292996960648
"ILMN_1656951";"NM_153000";-1,47096816388041
"ILMN_1802203";"NM_001024227";-0,0690090134140764
"ILMN_1731178";"NM_030672";-0,327087370489402
"ILMN_1733861";"NM_014784";-0,166753233451253
"ILMN_1774161";"NM_019087";0,408323979127543
"ILMN_1771738";"NM_012097";0,468404285669938
"ILMN_1661492";"NM_152285";-0,538820120998805
"ILMN_1693771";"NM_004318";0,397161856223069
"ILMN_2313782";"NM_178270";0,331846671174838
"ILMN_2320349";"NM_138972";-0,907598867802669
"ILMN_1767612";"NM_031885";-0,830860658605815
"ILMN_2371147";"NM_004765";-0,471870913585096
"ILMN_1799280";"NM_203314";-0,492573593917811
"ILMN_2372413";"NM_197967";-0,74757200392235
"ILMN_1763386";"NM_197966";-0,427604782846679
"ILMN_1785635";"NM_007371";-0,584689122742285
"ILMN_2086222";"NM_018117";0,150834158920616
"ILMN_2205963";"NM_022153";-0,496486979557218
"ILMN_1702676";"XM_938283";-0,557819257163894
"ILMN_1754894";"NM_174896";0,628230668184182
"ILMN_1790713";"NM_001010979";0,406350564251985
"ILMN_1657144";"NM_001010867";-0,472339230329656
"ILMN_2044027";"NM_001039379";-0,384156482315873
"ILMN_1806312";"NM_001009924";-0,285790680164919
"ILMN_1732404";"NM_144706";-0,330853707772699
"ILMN_1757636";"NM_153706";0,551556786514936
"ILMN_1696711";"NM_030568";-0,35742653072867
"ILMN_1804498";"NM_152743";-0,418677019801034
"ILMN_3235912";"NM_145111";0,280086877826303
"ILMN_1679241";"NM_175075";0,487115531896953
"ILMN_1742074";"NM_032847";0,321295011780432
"ILMN_1813641";"NM_017723";-0,48201373144625
"ILMN_1688580";"NM_004345";-0,766930765133048
"ILMN_1737089";"NM_004055";-0,874532163653338
"ILMN_1798980";"NM_004930";-0,266751527652593
"ILMN_1794157";"NR_002318";0,340987790669512
"ILMN_1685580";"NM_170662";-0,40481107237108
"ILMN_1801766";"NM_017918";-0,677873419853027
"ILMN_3237926";"NM_024565";-0,72260348149845
"ILMN_1692390";"NM_001240";0,697789160537528
"ILMN_1796244";"NM_006110";0,342400186205143
"ILMN_2307744";"NM_172358";0,721341406909073
"ILMN_1689989";"NM_006035";-0,350221688898685
"ILMN_1801257";"NM_001042426";0,354664517878618
"ILMN_1693221";"NM_022909";0,416376195047456
"ILMN_1720526";"NM_018455";0,61432046509678
"ILMN_1691151";"NM_212469";-0,320433297644327
"ILMN_1747697";"NM_001821";0,447500030197209
"ILMN_1815319";"NM_181521";-0,307904778028487
"ILMN_1762718";"NM_181521";-0,42005256048262
"ILMN_1748844";"NM_173515";-0,553655266330731
"ILMN_1758412";"NM_016319";-0,201969059009047
"ILMN_1801378";"NM_017421";0,354245324716249
"ILMN_1694432";"NM_001312";-0,826442155766305
"ILMN_1660579";"NM_015986";0,479905152975883
"ILMN_1693090";"NM_021151";-0,524812372164364
"ILMN_1782788";"NM_003651";-0,277281197302999
"ILMN_2392356";"NM_175859";-0,527651820213991
"ILMN_1694757";"NM_001912";-0,657214559406015
"ILMN_1806010";"NM_015089";-0,613068167825227
"ILMN_1677200";"NM_014376";-1,36619690797439
"ILMN_2097259";"NM_183075";-0,638228399973601
"ILMN_2174127";"NM_080927";1,08118145380355
"ILMN_2412807";"NM_023019";-0,525315095283025
"ILMN_1676984";"NM_004083";0,280647689812914
"ILMN_1694983";"NM_007204";0,480195432254148
"ILMN_1783996";"NM_022774";-0,343546931127181
"ILMN_1741711";"NM_005128";-0,594678399017642
"ILMN_2350634";"NM_001039348";-0,552660330637174
"ILMN_1717834";"NM_032325";0,243283521254619
"ILMN_1738326";"NM_004846";-0,268341080268536
"ILMN_1774272";"NM_004451";-0,713494730818627
"ILMN_1727041";"NM_005243";-0,426477261316057
"ILMN_2402168";"NM_002685";-0,48011789921407
"ILMN_3251536";"NM_001078173";-0,506317023745619
"ILMN_1712684";"NM_020223";-0,732359524877554
"ILMN_1673899";"NM_024792";-0,765315250500757
"ILMN_1732717";"NM_138411";-1,05325639500193
"ILMN_1719870";"NM_207418";0,995173865543813
"ILMN_1652280";"NM_058229";-0,788541035822414
"ILMN_2362293";"NM_030793";0,45426771452607
"ILMN_3241510";"NM_001105573";0,575604176146558
"ILMN_1667112";"NM_012179";-0,740977023515371
"ILMN_1755834";"NM_004111";-0,415162115257575
"ILMN_2089977";"NM_182827";-0,698638280039788
"ILMN_1763663";"NM_017939";-0,650125174706527
"ILMN_1750051";"NM_152424";-0,452719624829083
"ILMN_1726222";"NM_004475";-0,712855211297127
"ILMN_1781867";"NM_012184";0,498976103564667
"ILMN_2288070";"NM_001080432";-0,701867135060251
"ILMN_2403896";"NM_199127";-0,69976246646188
"ILMN_1677439";"NM_013267";-0,671425802335733
"ILMN_2386891";"NM_018446";-0,400602918256864
"ILMN_2218935";"NM_005302";-0,250660946855818
"ILMN_2347193";"NM_018530";-0,691224412747773
"ILMN_2157957";"NM_005316";0,393879197035187
"ILMN_2393243";"NM_014170";0,131321650997187
"ILMN_1773964";"NM_006026";-0,423005307980114
"ILMN_1750658";"NM_006118";-0,243602879196695
"ILMN_2220518";"NM_006402";-0,274732732599036
"ILMN_2203950";"NM_002116";-0,637026363133158
"ILMN_1792669";"NM_000411";-0,487537840980715
"ILMN_1826531";"AK056642";-0,530287860143608
"ILMN_1834842";"BX093900";0,800514358366977
"ILMN_1849494";"AF131834";-0,77230418137029
"ILMN_1878459";"AI469954";0,25575164814775
"ILMN_1903049";"CA391675";-0,639050751554058
"ILMN_1868668";"AK055655";0,725707432233637
"ILMN_1864685";"BC062365";-1,29085748130842
"ILMN_1853167";"BM997836";-1,16829995120063
"ILMN_1823809";"AK025082";0,662617230052536
"ILMN_1917174";"CN276941";0,376651144084708
"ILMN_1903524";"BG207842";-0,315781219116873
"ILMN_2081087";"NM_025015";-0,821181622360724
"ILMN_1766499";"NM_021979";-0,417452962445438
"ILMN_1664303";"NM_006410";-0,426799469730392
"ILMN_1668283";"NM_003773";-0,341216246638636
"ILMN_1667432";"NM_003549";-0,50157128238994
"ILMN_1807662";"NM_000876";-0,49732529528071
"ILMN_2359733";"NM_173161";-0,838176065807611
"ILMN_1782579";"NM_001100169";-0,226610654881799
"ILMN_1813650";"NR_003252";0,198433316357803
"ILMN_1756086";"NM_023015";-0,334389391352884
"ILMN_2183728";"NM_015693";0,362065984707542
"ILMN_1691376";"NM_000214";-0,331672719308711
"ILMN_1798224";"NM_004187";-0,641894674961677
"ILMN_1802434";"NM_175913";-0,447382120478079
"ILMN_1733811";"NM_002230";-0,362162282281213
"ILMN_1716089";"NM_015493";-0,626102850062558
"ILMN_1687524";"NM_018095";-0,696106252293342
"ILMN_1779480";"XM_001133393";-0,301736692947428
"ILMN_1810115";"XM_940854";0,294810941941664
"ILMN_1703969";"XM_001125924";-0,453077774658468
"ILMN_1701512";"NM_014672";-0,133215998600516
"ILMN_1793371";"NM_014647";-0,264029560642715
"ILMN_2376133";"NM_020444";-0,137872796539112
"ILMN_1668465";"NM_020947";-0,312716400445347
"ILMN_1772821";"XM_371461";-0,441820975344744
"ILMN_2097858";"NM_033426";0,38129380993265
"ILMN_1735930";"NM_016270";-0,634102189724962
"ILMN_1770293";"NM_001730";0,815873081189334
"ILMN_1735700";"NM_007196";0,607693021874733
"ILMN_1695621";"NM_057088";-0,309338656182053
"ILMN_2219002";"NM_005554";0,820640281316081
"ILMN_1698772";"NM_005555";0,524986891566163
"ILMN_1810852";"NM_002293";-0,509436981814257
"ILMN_2315979";"NM_030915";-1,8005286752731
"ILMN_1803788";"NM_002306";-0,263029017312858
"ILMN_3258027";"XR_039099";0,761073923964509
"ILMN_3183789";"XM_001727022";-0,380939221961433
"ILMN_3265193";"XM_001722466";0,433974040563164
"ILMN_3193623";"XM_001719035";0,489755293613891
"ILMN_3271555";"XM_001716901";0,210307998485045
"ILMN_3268246";"XM_001717180";0,391592163800987
"ILMN_3178273";"XM_001726438";-0,290936845687966
"ILMN_3287058";"XR_037578";0,781854216317732
"ILMN_3243209";"XM_001720896";0,612452640258937
"ILMN_3246845";"XM_001713840";0,300830082689648
"ILMN_3249327";"XM_001714618";-0,318510221582594
"ILMN_1695261";"XM_937850";0,0805179300629923
"ILMN_3275388";"XR_017256";-0,722057717237282
"ILMN_1714741";"XM_943533";0,909527689133389
"ILMN_1672121";"NM_001013635";-1,50363921035175
"ILMN_3295494";"XR_037483";-0,499307594940102
"ILMN_3274339";"XR_018405";0,25688677920723
"ILMN_2320480";"NM_001013670";-0,549108019083523
"ILMN_1791423";"NM_001008737";-0,377241774043957
"ILMN_3213692";"XR_018937";0,419424989424435
"ILMN_3207490";"XR_038885";0,434645765962223
"ILMN_3199896";"XR_016425";0,467359305053428
"ILMN_3281599";"XR_019077";-0,42389968010624
"ILMN_3281039";"XR_016221";0,261582161732962
"ILMN_3239871";"NM_001101386";0,312148765082202
"ILMN_1694878";"XM_928051";-0,84630187269885
"ILMN_1669424";"XR_018197";0,232256748051041
"ILMN_3279935";"XR_017343";0,829112702683174
"ILMN_1757702";"XM_936731";-0,424904409391434
"ILMN_1670331";"XM_939840";-0,557045239442044
"ILMN_1729115";"XM_941060";0,708155316741324
"ILMN_3215954";"XR_016115";0,338797593125652
"ILMN_1660976";"XM_926469";-0,625468396755187
"ILMN_1701882";"XM_930579";0,973777590250653
"ILMN_1802808";"XM_939368";-0,32717255938029
"ILMN_1725981";"XM_942687";-0,261957799083509
"ILMN_1799628";"XM_001124651";-0,553525953122258
"ILMN_3204312";"XR_015743";0,718533063902423
"ILMN_3234384";"XM_001721287";0,303568950941631
"ILMN_3300190";"XR_038254";-0,310616935813391
"ILMN_3236877";"XR_041521";0,678558738653814
"ILMN_1808591";"XM_001129232";0,72617511638861
"ILMN_1797181";"XR_017952";-0,435094646296446
"ILMN_1757336";"NM_032773";0,260516770403706
"ILMN_1709623";"NM_139032";-0,433199042821706
"ILMN_1698685";"NM_002380";-1,20410029142011
"ILMN_1753122";"NM_024596";-0,448152928701781
"ILMN_1800451";"NM_005481";-0,327578084040216
"ILMN_3241441";"NM_001409";-0,659039877271109
"ILMN_3239177";"NM_001093725";-0,396793928147241
"ILMN_1744023";"XM_927732";-0,726904687251379
"ILMN_1718734";"NM_005937";0,20402458289807
"ILMN_1795463";"NM_024657";-0,55021490869661
"ILMN_2041327";"NM_016491";-0,434362849757404
"ILMN_1779423";"NM_022100";-0,329331188629196
"ILMN_1802553";"NM_032014";-0,316155161642738
"ILMN_1763828";"NM_005955";0,528200628882646
"ILMN_1786684";"NM_019041";0,558298896421127
"ILMN_1657550";"NM_002461";0,347020091686555
"ILMN_1786310";"NM_000431";-0,343807944803165
"ILMN_1721922";"NM_005967";-0,401321473389464
"ILMN_2178244";"NM_024771";-0,520209357819611
"ILMN_3307221";"NM_145117";-0,735483955349646
"ILMN_1683211";"NM_004386";-0,49829787158458
"ILMN_1776104";"NM_004552";-0,197510590608928
