Probe;NR;TPR_ctGen-ctRef;TPRrelative Werte;CKAP2L_ctGen-ctRef;CKAP2L_relative Werte;Rock1_ctGen-ctRef;Rock1relative Werte;GALNSctGen-ctRef;GALNSrelative Werte;ALDH4A1ctGen-ctRefALDH4A1;ALDH4A1relative Werte;CLCA2ctGen-ctRef;CLCA2relative Werte
SF;1;6.8088092804;100;9.3182373047;100;9.4863796234;100;10.2698368073;100;8.5698368073;100;5.6698368073;100
SF;2;5.6468725204;223.7576116526;8.2231683731;213.6232882288;8.8647756577;153.8584805243;10.663549614;76.116819898;9.663549614;46.8553987895;7.063549614;38.058409949
SF;3;8.1398820877;39.7472566045;10.0812921524;58.9247301747;10.2791566849;57.7231901062;9.8890867233;130.2018623138;8.0890867233;139.5469008007;5.5890867233;105.7567746744
SF;4;6.7688570023;102.8079818987;9.1875257492;109.4833553905;9.8031301498;80.2876211595;10.3941202164;91.7459634955;8.5941202164;98.3308889693;6.0941202164;74.5208787052
SF;5;7.9043197632;46.7970507872;9.9583320618;64.1670802072;10.5412521362;48.1339754405;10.7180721283;73.293881764;8.3180721283;119.0662622022;6.7180721283;48.3559283995
SF;6;6.344288826;137.9858618122;8.3956918716;189.5456612272;9.1130056381;129.5378752288;10.5679071426;81.3339544605;8.6679071426;93.4281796942;6.6679071426;50.0669218246
799;1;5.264749527;291.6139535546;9.5928993225;82.6643954503;7.073387146;532.5778682893;7.4756538391;693.6380150773;8.2756538391;122.6190360375;10.6756538391;3.1124251831
799;2;4.1843833923;616.6388935395;7.0241622925;490.4394435119;6.2969684601;912.2385660945;7.7185520172;586.1560464564;8.5185520172;103.6187288207;11.9185520172;1.3150712624
799;3;6.1407527924;158.8931012811;10.2809581757;51.3088334113;7.8984127045;300.6254021816;7.2619693756;804.3745474406;8.5619693756;100.5468184301;12.6619693756;0.785522019
799;4;5.8382797241;195.9559740039;9.1404724121;113.1130114285;7.6014175415;369.3432167837;7.6609004974;610.0537288658;8.6609004974;93.8830300167;12.4609004974;0.9029966243
799;5;7.2229270935;75.047826083;10.7761516571;36.4018997099;8.8091220856;159.9097092655;7.4861904144;688.5905551888;8.9861904144;74.9316119625;14.1861904144;0.2731002581
799;6;4.941160202;364.9374171195;8.7375793457;149.5531148676;6.7800827026;652.6443014424;7.4231838226;719.3296065917;8.6231838226;96.3697978952;13.4231838226;0.4634575715
SF;1;8.7871322632;25.3784702906;10.3499202728;48.9139213129;10.8419570923;39.0778373036;9.9831481934;121.9837196584;7.9831481934;150.1795749765;6.0831481934;75.0897874882
SF;2;8.2935276031;35.7318292302;9.5948982239;82.549940524;10.6166934967;45.6816329166;10.1461730957;108.9498123441;9.1461730957;67.0664764012;7.6461730957;25.4134423347
SF;3;9.0151720047;21.667990608;10.6149511337;40.7052326855;11.1771459579;30.9762340904;9.6112932205;157.8488321357;8.1112932205;137.4153897314;6.0112932205;78.9244160679
SF;4;9.1555461884;19.6590170246;10.4480209351;45.6984256646;11.4391746521;25.8315294534;9.6691551208;151.643292547;8.5691551208;100.0472620657;6.8691551208;43.5481001738
SF;5;9.1066303253;20.3370024435;10.2657337189;51.8531517063;10.826921463;39.4872324067;10.1613357544;107.8107510407;7.9613357544;152.4674262915;7.3613357544;30.9605080929
SF;6;7.868519783;47.9728314346;8.9588327408;128.2896305096;9.6265001297;90.7443354685;10.2132612228;103.9994273433;8.6132612228;97.0348968122;7.3132612228;32.0095784912
799;1;5.7750434875;204.7361405169;8.8845100403;135.0718712551;7.0425510406;544.0836905263;7.0787452698;913.3017118915;8.0787452698;140.5507875367;12.5787452698;0.8321685824
799;2;7.2875671387;71.7595198269;8.845621109;138.7623516423;8.3146362305;225.2837717093;7.617067337;628.8733373394;8.517067337;103.7254179367;12.717067337;0.756087789
799;3;5.6109313965;229.4019864247;8.5734367371;167.5742605391;6.804309845;641.7759729369;7.1275741577;882.9077149776;8.3275741577;118.2846323477;12.3275741577;0.9904244529
799;4;6.0267486572;171.9585229278;8.6443862915;159.5325722156;7.7647781372;329.8023059941;7.339642334;762.2131367715;8.039642334;144.4123848271;12.939642334;0.6479932379
799;5;5.6596298218;221.7877154527;8.8996276855;133.6638763523;7.4336872101;414.879511709;7.1109127045;893.1633808629;8.4109127045;111.6454226079;12.7109127045;0.7593201995
799;6;5.6110210419;229.3877324139;8.5783214569;167.007842055;7.6807346344;349.5854133959;7.3771030426;742.6764154825;8.1771030426;131.2878824038;12.4771030426;0.8929120311
SF;1;5.4058971405;264.4348164616;7.5486888885;340.9472187225;8.4883441925;199.7278382428;11.171893692;53.5123249147;9.071893692;70.6099360488;4.771893692;186.3407383912
SF;2;6.5337543488;121.0040161483;7.9778404236;253.2209695469;9.3720817566;108.2448109697;11.8136627197;34.2974705817;10.1136627197;34.2974705817;6.4136627197;59.7153646691
SF;3;7.845621109;48.7403383551;8.8452892303;138.7942763108;9.5073814392;98.5548096514;9.8754314423;131.4400892478;7.5754314423;199.2259207764;4.3754314423;245.2758793574
SF;4;7.3969497681;66.5199741145;8.7920341492;144.0134099131;9.5525341034;95.5180652681;10.2118846893;104.0987047449;8.9118846893;78.8920656671;5.6118846893;104.0987047449
SF;5;8.162150383;39.1384600442;9.2337789536;106.0289588981;9.8930807114;75.4346315199;10.4772027969;86.6117107853;8.3772027969;114.2848375468;5.8772027969;86.6117107853
SF;6;6.0512905121;169.0580563221;7.6062850952;327.6038268026;8.4010562897;212.1850974173;10.420300293;90.096096995;8.920300293;78.4332079898;6.220300293;68.2800733966
799;1;5.5492229462;239.4270798516;8.7082519531;152.6243712131;6.7795200348;652.8988899542;8.4729682922;347.465205178;8.8729682922;81.0491249605;13.1729682922;0.5512293859
799;2;5.5101623535;245.9980580751;7.7664012909;293.1900236375;6.7045440674;687.7267947623;8.5424453735;331.1285564338;8.1424453735;134.4799817327;12.6424453735;0.7962247507
799;3;5.8152332306;199.1114311593;9.1315193176;113.8171521572;6.9063816071;597.9388773136;7.9891994476;485.8925659209;8.2891994476;121.4731414802;13.9891994476;0.3130561936
799;4;5.3347835541;277.7959808015;8.4966659546;176.7329879526;7.3487262726;440.0456973488;9.267830658;200.2783047996;9.067830658;70.8090737242;12.867830658;0.6810640276
799;5;4.8608894348;385.8178376584;8.6037750244;164.0871519784;6.9315376282;587.6030951704;8.4996688843;341.0936561073;8.9996688843;74.2348186152;16.0996688843;0.0724949401
799;6;4.9422988892;364.6494937671;8.4922847748;177.2705068766;7.1020755768;522.0919978824;9.0339237213;235.5303681442;9.2339237213;63.1087995496;13.1339237213;0.5663513612
