Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_FAT	GO:0044822~poly(A) RNA binding	176	11.717709720372836	2.4305236169715056E-16	NM_000269, NM_015710, NM_001157, NM_002095, NM_001033714, NM_139235, NM_015514, NM_015984, NM_176801, NM_001547, NM_007342, NM_003016, NM_005898, NM_001540, NM_032280, NM_003137, NM_001024662, NM_024098, NM_006325, NM_003234, NM_003849, NM_001035006, NM_016070, NM_001032293, NM_018321, NM_018077, NM_032830, NM_031903, NM_014160, NM_014494, NM_181696, NM_007355, NM_001032393, NM_032993, NM_032338, NM_001903, NM_033251, NM_017446, NM_002271, NM_016020, NM_005174, NM_032509, NM_203499, NM_032390, NM_032786, NM_138394, NM_005778, NM_032239, NM_032194, NM_003134, NM_002827, NM_003329, NM_001280, NM_003090, NM_017544, NM_002266, NM_004134, NM_001358, NM_018387, NM_014753, NM_001039210, NM_006392, NM_032795, NM_001081640, NM_138927, NM_006597, NM_014929, NM_004704, NM_138386, NM_017816, NM_031262, NM_019042, NM_016391, NM_004335, NM_001655, NM_006904, NM_017755, NM_000976, NM_004593, NM_001970, NM_013285, NM_024754, NM_000445, NM_018983, NM_013286, NM_001363, NM_015659, NM_020963, NM_015475, NM_015168, NM_015658, NM_032351, NM_012208, NM_003201, NM_002156, NM_018553, NM_016183, NM_021821, NM_201224, NM_032359, NM_001002019, NM_012090, NM_005381, NM_001111, NM_001018, NM_007008, NM_001013, NM_001961, NM_002802, NM_014462, NM_014110, NM_032864, NM_153201, NM_001119, NM_001212, NM_016039, NM_001082576, NM_003488, NM_015465, NM_031243, NM_015179, NM_001620, NM_022779, NM_012121, NM_013446, NM_001030, NM_148842, NM_006430, NM_004728, NM_003913, NM_007190, NM_001123, NM_024060, NM_007192, NM_015939, NM_031157, NM_014878, NM_016101, NM_005589, NM_015169, NM_001031684, NM_002370, NM_014180, NM_021944, NM_020368, NM_007363, NM_030752, NM_007362, NM_015971, NM_198319, NM_016167, NM_198318, NM_020701, NM_001034194, NM_022118, NM_024077, NM_024078, NM_022366, NM_004699, NM_006170, NM_021177, NM_015481, NM_004741, NM_003418, NM_004960, NM_001641, NM_015155, NM_001042635, NM_014175, NM_005517, NM_198077, NM_001007073, NM_001078166, NM_015545, NM_005016, NM_182679, NM_004499, NM_020230, NM_012341, NM_006649, NM_006047, NM_015607, NM_015201, NM_007178	1228	1196	15478	1.8548037432048194	3.914646384828302E-13	3.914646384828302E-13	3.774758283725532E-13
GOTERM_MF_FAT	GO:0003723~RNA binding	217	14.447403462050598	1.8809650231904335E-14	NM_000269, NM_003730, NM_002095, NM_139235, NM_015984, NM_007342, NM_005898, NM_003137, NM_018648, NM_013302, NM_024098, NM_006325, NM_003234, NM_005089, NM_003849, NM_001035006, NM_001032293, NM_032830, NM_014160, NM_181696, NM_007355, NM_015004, NM_001032393, NM_032338, NM_001903, NM_002271, NM_016020, NM_032509, NM_203499, NM_138394, NM_005778, NM_032239, NM_003095, NM_003134, NM_003092, NM_003329, NM_017544, NM_003090, NM_002266, NM_018387, NM_024339, NM_001031716, NM_001105663, NM_001039210, NM_001081640, NM_014929, NM_006597, NM_138927, NM_001004, NM_004704, NM_138386, NM_017816, NM_031262, NM_004335, NM_016391, NM_005371, NM_006893, NM_002887, NM_000976, NM_004504, NM_013285, NM_024754, NM_013286, NM_015659, NM_020963, NM_015658, NM_015168, NM_016042, NM_032351, NM_016183, NM_003201, NM_021821, NM_001002019, NM_032359, NM_012090, NM_005381, NM_001111, NM_007008, NM_014712, NM_032864, NM_014110, NM_001119, NM_153201, NM_016039, NM_001212, NM_003488, NM_001082576, NM_031243, NM_015179, NM_001620, NM_013446, NM_148842, NM_006430, NM_004728, NM_001123, NM_015939, NM_005589, NM_016027, NM_015169, NM_002370, NM_021944, NM_000344, NM_015971, NM_198319, NM_016167, NM_198318, NM_001034194, NM_020701, NM_003898, NM_015969, NM_022805, NM_006170, NM_021177, NM_004741, NM_001641, NM_015155, NM_015545, NM_004499, NM_012081, NM_006649, NM_006047, NM_015710, NM_001157, NM_001033714, NM_015514, NM_176801, NM_001547, NM_003016, NM_001540, NM_017884, NM_032280, NM_001024662, NM_001006937, NM_016070, NM_018321, NM_018077, NM_031903, NM_031307, NM_014494, NM_032993, NM_033251, NM_017446, NM_005174, NM_181503, NM_032390, NM_032786, NM_004990, NM_015453, NM_013354, NM_032194, NM_002827, NM_001280, NM_004134, NM_001097577, NM_001358, NM_014753, NM_006392, NM_032795, NM_019042, NM_001655, NM_006904, NM_017755, NM_004593, NM_001970, NM_018983, NM_000445, NM_001363, NM_005648, NM_015475, NM_012208, NM_002156, NM_018553, NM_201224, NM_001018, NM_001013, NM_001961, NM_014462, NM_002802, NM_002161, NM_018357, NM_015465, NM_022779, NM_012121, NM_003196, NM_001030, NM_003913, NM_007190, NM_024060, NM_007192, NM_031157, NM_014878, NM_016101, NM_001031683, NM_001031684, NM_014180, NM_020368, NM_007363, NM_030752, NM_007362, NM_020365, NM_022118, NM_018427, NM_018428, NM_024077, NM_182916, NM_024078, NM_022366, NM_004699, NM_003418, NM_015481, NM_004960, NM_001042635, NM_014175, NM_005517, NM_198077, NM_001007073, NM_001078166, NM_005016, NM_182679, NM_020230, NM_012341, NM_033416, NM_015607, NM_015201, NM_007178	1228	1656	15478	1.6516418433020188	3.307876195179915E-11	1.6539436487050807E-11	3.178568519501823E-11
GOTERM_CC_FAT	GO:0005730~nucleolus	134	8.921438082556591	2.937387758139678E-12	NM_018518, NM_177401, NM_199332, NM_018256, NM_199331, NM_015710, NM_001015891, NM_206861, NM_001033714, NM_139235, NM_152705, NM_015514, NM_031477, NM_025265, NM_001514, NM_032280, NM_017884, NM_018648, NM_004364, NM_024098, NM_006325, NM_002669, NM_017780, NM_018321, NM_018077, NM_001032293, NM_032830, NM_015974, NM_007350, NM_014023, NM_015004, NM_001532, NM_032338, NM_032993, NM_006219, NM_032789, NM_182709, NM_002467, NM_002271, NM_001007468, NM_032509, NM_181503, NM_032390, NM_004520, NM_015453, NM_032194, NM_001080450, NM_174869, NM_003092, NM_001280, NM_017544, NM_003904, NM_001986, NM_016118, NM_152699, NM_001097577, NM_004134, NM_001358, NM_014753, NM_006392, NM_006597, NM_080650, NM_001081640, NM_004704, NM_017816, NM_018115, NM_016391, NM_005371, NM_006904, NM_032593, NM_004645, NM_000976, NM_017755, NM_001093771, NM_003082, NM_013285, NM_006608, NM_013286, NM_018983, NM_001363, NM_002635, NM_015659, NM_015658, NM_016042, NM_017572, NM_207346, NM_016183, NM_003576, NM_201224, NM_031434, NM_030938, NM_005381, NM_001111, NM_199054, NM_001013, NM_197974, NM_153201, NM_017746, NM_001212, NM_006638, NM_015179, NM_005597, NM_022779, NM_139353, NM_004728, NM_001951, NM_018416, NM_014878, NM_016101, NM_015169, NM_002653, NM_020368, NM_007363, NM_016167, NM_019014, NM_001034194, NM_004555, NM_002960, NM_018427, NM_018428, NM_024078, NM_182743, NM_024702, NM_052897, NM_012073, NM_006170, NM_001747, NM_015481, NM_004741, NM_005124, NM_012334, NM_015960, NM_001641, NM_015155, NM_001042635, NM_080548, NM_020230, NM_012341, NM_006649, NM_033416, NM_015607, NM_015201	1201	882	14527	1.8376768414831932	2.7171209726617462E-9	2.7171209726617462E-9	4.59492444093712E-9
GOTERM_BP_FAT	GO:0042254~ribosome biogenesis	64	4.26098535286285	3.726630187925946E-11	NM_015659, NM_015658, NM_016042, NM_016183, NM_018256, NM_201224, NM_001033714, NM_031480, NM_139235, NM_001018, NM_001013, NM_015514, NM_017746, NM_001212, NM_006638, NM_022779, NM_018648, NM_001024662, NM_001030, NM_006325, NM_024098, NM_017780, NM_004728, NM_001035006, NM_018321, NM_032830, NM_016101, NM_014023, NM_015169, NM_015004, NM_032993, NM_033251, NM_020368, NM_015971, NM_016020, NM_032509, NM_001034194, NM_181503, NM_018427, NM_018428, NM_024078, NM_022366, NM_032194, NM_006170, NM_004741, NM_014753, NM_001042635, NM_014929, NM_001004, NM_006392, NM_004704, NM_138386, NM_001007073, NM_017953, NM_018115, NM_016391, NM_015997, NM_020230, NM_000976, NM_012341, NM_006649, NM_033416, NM_020192, NM_015201, NM_013285, NM_018983, NM_001363	1296	335	16650	2.4543946932006633	2.871740755194807E-7	2.871740755194807E-7	7.414848735010082E-8
GOTERM_BP_FAT	GO:0034660~ncRNA metabolic process	91	6.058588548601864	6.13183990572928E-11	NM_015659, NM_152307, NM_012208, NM_016042, NM_207346, NM_016183, NM_018256, NM_201224, NM_001002019, NM_002095, NM_001033714, NM_031480, NM_005381, NM_031472, NM_139235, NM_001111, NM_001018, NM_001013, NM_015514, NM_025265, NM_173701, NM_001514, NM_017746, NM_002161, NM_016039, NM_006638, NM_031243, NM_018648, NM_001024662, NM_002047, NM_001030, NM_024098, NM_017780, NM_024638, NM_004728, NM_001035006, NM_003998, NM_032830, NM_015939, NM_031307, NM_014023, NM_001521, NM_015004, NM_015169, NM_033661, NM_032993, NM_020368, NM_033251, NM_017446, NM_007362, NM_016020, NM_001007468, NM_032509, NM_019014, NM_001034194, NM_181503, NM_032390, NM_004990, NM_015453, NM_001799, NM_018428, NM_182916, NM_024078, NM_022366, NM_032194, NM_006170, NM_018669, NM_004741, NM_001097577, NM_176866, NM_014753, NM_001031716, NM_001042635, NM_006392, NM_001004, NM_032795, NM_004704, NM_138386, NM_001007073, NM_015545, NM_019042, NM_005513, NM_005371, NM_015997, NM_002887, NM_000976, NM_017755, NM_012341, NM_012081, NM_006649, NM_003082, NM_033416, NM_015201, NM_018983, NM_001363	1296	570	16650	2.051047758284601	4.725194387988907E-7	2.3625974732155441E-7	1.2200476184887066E-7
GOTERM_BP_FAT	GO:0022613~ribonucleoprotein complex biogenesis	80	5.326231691078561	1.2546806286214066E-10	NM_015659, NM_015658, NM_016042, NM_016183, NM_018256, NM_001042479, NM_201224, NM_001033714, NM_031480, NM_139235, NM_001111, NM_001018, NM_001013, NM_015514, NM_017746, NM_001212, NM_006638, NM_006023, NM_015465, NM_018648, NM_022779, NM_001024662, NM_001030, NM_024098, NM_006325, NM_017780, NM_005089, NM_004728, NM_001035006, NM_018321, NM_032830, NM_016101, NM_014023, NM_015169, NM_015004, NM_032993, NM_033251, NM_020368, NM_000344, NM_015971, NM_016020, NM_032509, NM_001034194, NM_024775, NM_020701, NM_181503, NM_018427, NM_018233, NM_018428, NM_024078, NM_013354, NM_022366, NM_005778, NM_032194, NM_003095, NM_001280, NM_006170, NM_004741, NM_014753, NM_001042635, NM_014929, NM_006392, NM_001004, NM_004704, NM_138386, NM_001007073, NM_001078166, NM_017953, NM_018115, NM_016391, NM_015997, NM_006893, NM_020230, NM_000976, NM_012341, NM_006649, NM_033416, NM_020192, NM_013285, NM_015201, NM_018983, NM_001363, NM_007178	1296	480	16650	2.1412037037037037	9.668565600362555E-7	3.222856238549454E-7	2.496429285514523E-7
GOTERM_BP_FAT	GO:0006396~RNA processing	123	8.189081225033288	1.2966658630315766E-9	NM_152307, NM_018256, NM_001042479, NM_001033714, NM_031480, NM_139235, NM_031472, NM_015514, NM_025265, NM_003016, NM_003137, NM_018648, NM_001024662, NM_024098, NM_002669, NM_017780, NM_005089, NM_002715, NM_001035006, NM_018077, NM_032830, NM_031307, NM_014023, NM_006469, NM_015004, NM_001032393, NM_033661, NM_032993, NM_033251, NM_016020, NM_032509, NM_181503, NM_017969, NM_138394, NM_015453, NM_005778, NM_032194, NM_003095, NM_003092, NM_007265, NM_003090, NM_003904, NM_018669, NM_001358, NM_014753, NM_024339, NM_006392, NM_138927, NM_006597, NM_001004, NM_032795, NM_004704, NM_138386, NM_019042, NM_031262, NM_005371, NM_015997, NM_000976, NM_017755, NM_004593, NM_013286, NM_018983, NM_024754, NM_001363, NM_015659, NM_016042, NM_207346, NM_016183, NM_018553, NM_201224, NM_001002019, NM_001111, NM_001018, NM_001013, NM_014462, NM_014110, NM_032864, NM_153201, NM_017746, NM_001212, NM_018357, NM_016039, NM_001082576, NM_006638, NM_015465, NM_031243, NM_001030, NM_024638, NM_004728, NM_003913, NM_015939, NM_003594, NM_031157, NM_015169, NM_001031684, NM_002370, NM_006857, NM_020368, NM_000344, NM_007363, NM_007362, NM_024775, NM_001034194, NM_020701, NM_001799, NM_022118, NM_018428, NM_182916, NM_024078, NM_022366, NM_022805, NM_006170, NM_021177, NM_004741, NM_016059, NM_004960, NM_001042635, NM_001007073, NM_015545, NM_001078166, NM_005016, NM_012341, NM_006649, NM_015607, NM_033416, NM_002431, NM_015201, NM_007178	1296	910	16650	1.736492673992674	9.992057401375654E-6	2.4980237105509673E-6	2.579966618121432E-6
GOTERM_CC_FAT	GO:0005829~cytosol	368	24.500665778961384	1.4255299191539719E-9	NM_032451, NM_000269, NM_145331, NM_145058, NM_177401, NM_031480, NM_003253, NM_015984, NM_015895, NM_173701, NM_007342, NM_005605, NM_006202, NM_006736, NM_005898, NM_005488, NM_021254, NM_138809, NM_145858, NM_012156, NM_001024463, NM_013302, NM_000276, NM_007045, NM_003343, NM_006472, NM_000374, NM_006325, NM_001724, NM_003849, NM_001035006, NM_032103, NM_015974, NM_007350, NM_153033, NM_024736, NM_005493, NM_016129, NM_181696, NM_007355, NM_015004, NM_006216, NM_001903, NM_002468, NM_004231, NM_006219, NM_003127, NM_002467, NM_201539, NM_017823, NM_207309, NM_004520, NM_001004720, NM_030918, NM_022652, NM_001007467, NM_003095, NM_003134, NM_003329, NM_016823, NM_002266, NM_006225, NM_005460, NM_138794, NM_004708, NM_007088, NM_018669, NM_007065, NM_006499, NM_003866, NM_017546, NM_002475, NM_016429, NM_005067, NM_001004, NM_006597, NM_080650, NM_001081640, NM_177533, NM_145871, NM_201545, NM_006888, NM_014924, NM_153240, NM_177536, NM_017815, NM_016433, NM_031466, NM_006893, NM_015994, NM_006601, NM_025082, NM_002887, NM_198833, NM_000976, NM_032852, NM_001093771, NM_005471, NM_016575, NM_018677, NM_173477, NM_015659, NM_175085, NM_020963, NM_014916, NM_006832, NM_201554, NM_016042, NM_012292, NM_001757, NM_016183, NM_003201, NM_021960, NM_198431, NM_003877, NM_006783, NM_198436, NM_003875, NM_006158, NM_080725, NM_178564, NM_006154, NM_052948, NM_005198, NM_014814, NM_005389, NM_001119, NM_153201, NM_016245, NM_001386, NM_012289, NM_016039, NM_001212, NM_003488, NM_014905, NM_001384, NM_001620, NM_006571, NM_130787, NM_180976, NM_016401, NM_001040084, NM_003789, NM_006431, NM_006430, NM_003883, NM_013262, NM_001123, NM_133265, NM_173558, NM_021818, NM_022662, NM_006066, NM_017429, NM_005399, NM_144580, NM_178177, NM_004888, NM_002370, NM_001630, NM_000344, NM_144563, NM_198319, NM_198318, NM_002757, NM_001034194, NM_000526, NM_006763, NM_003898, NM_182743, NM_006266, NM_178588, NM_012073, NM_001018052, NM_032885, NM_006556, NM_021177, NM_006846, NM_015689, NM_002646, NM_007234, NM_015155, NM_006452, NM_013233, NM_004605, NM_181900, NM_001743, NM_015296, NM_006254, NM_006747, NM_024815, NM_012083, NM_000155, NM_000154, NM_006645, NM_017919, NM_021202, NM_006282, NM_020441, NM_139323, NM_175610, NM_021204, NM_001042471, NM_005544, NM_005713, NM_005819, NM_197939, NM_001042479, NM_001013437, NM_001693, NM_001692, NM_052905, NM_152649, NM_015231, NM_152705, NM_002703, NM_176801, NM_020870, NM_001547, NM_000317, NM_007246, NM_005911, NM_015328, NM_015093, NM_001540, NM_198057, NM_003035, NM_006677, NM_001070, NM_001024662, NM_000712, NM_024918, NM_004670, NM_001014809, NM_001039847, NM_002715, NM_003998, NM_016338, NM_006116, NM_001539, NM_002518, NM_018718, NM_014494, NM_000819, NM_004766, NM_016077, NM_031305, NM_033661, NM_016213, NM_033251, NM_152328, NM_014600, NM_181503, NM_004990, NM_003900, NM_212461, NM_058191, NM_013354, NM_006793, NM_002827, NM_016208, NM_139012, NM_004798, NM_015302, NM_000435, NM_003798, NM_003010, NM_012237, NM_001037126, NM_175624, NM_006390, NM_006142, NM_005842, NM_005841, NM_006147, NM_015440, NM_002539, NM_001979, NM_001655, NM_001018138, NM_001978, NM_181312, NM_006904, NM_001551, NM_004856, NM_001970, NM_004595, NM_181738, NM_024429, NM_000445, NM_005561, NM_002537, NM_005648, NM_017570, NM_002451, NM_002156, NM_181784, NM_003576, NM_018948, NM_014455, NM_021244, NM_014970, NM_005052, NM_001018, NM_002807, NM_002061, NM_003580, NM_001013, NM_139078, NM_017843, NM_001961, NM_002802, NM_014462, NM_002803, NM_001002837, NM_002166, NM_018140, NM_001098209, NM_002161, NM_004443, NM_015469, NM_033546, NM_004059, NM_015465, NM_024647, NM_002047, NM_001030, NM_001031677, NM_139286, NM_030928, NM_007190, NM_024060, NM_003916, NM_003915, NM_032409, NM_153271, NM_005438, NM_002454, NM_002154, NM_014595, NM_022126, NM_001031683, NM_000292, NM_014646, NM_005627, NM_030752, NM_004089, NM_007362, NM_020365, NM_000693, NM_004555, NM_002964, NM_024775, NM_005027, NM_001040118, NM_001034, NM_018230, NM_004281, NM_001023571, NM_181676, NM_199141, NM_020375, NM_003418, NM_012334, NM_181552, NM_181677, NM_005805, NM_001024647, NM_000689, NM_080548, NM_001007073, NM_025106, NM_005016, NM_021626, NM_001009570, NM_018438, NM_003971, NM_004687, NM_170784, NM_005419, NM_007178	1201	3399	14527	1.3095726102524643	1.3186143041910015E-6	6.59307369477169E-7	2.2299103008549537E-6
GOTERM_BP_FAT	GO:0034470~ncRNA processing	68	4.527296937416778	4.92663436140777E-9	NM_015659, NM_152307, NM_016042, NM_207346, NM_016183, NM_018256, NM_201224, NM_001002019, NM_001033714, NM_031480, NM_031472, NM_139235, NM_001111, NM_001018, NM_001013, NM_015514, NM_025265, NM_017746, NM_016039, NM_006638, NM_031243, NM_018648, NM_001024662, NM_001030, NM_024098, NM_017780, NM_024638, NM_004728, NM_001035006, NM_032830, NM_015939, NM_031307, NM_014023, NM_015169, NM_015004, NM_032993, NM_033661, NM_033251, NM_020368, NM_016020, NM_032509, NM_001034194, NM_181503, NM_015453, NM_018428, NM_182916, NM_024078, NM_022366, NM_032194, NM_006170, NM_018669, NM_004741, NM_014753, NM_001042635, NM_006392, NM_032795, NM_001004, NM_004704, NM_138386, NM_001007073, NM_015545, NM_019042, NM_005371, NM_015997, NM_000976, NM_017755, NM_012341, NM_006649, NM_033416, NM_015201, NM_018983, NM_001363	1296	411	16650	2.125574479589078	3.796392353638822E-5	7.592900010622294E-6	9.80248791027094E-6
GOTERM_CC_FAT	GO:0030684~preribosome	24	1.5978695073235687	3.156516238119083E-8	NM_015659, NM_015658, NM_020368, NM_014753, NM_016183, NM_018256, NM_032509, NM_001042635, NM_024098, NM_001004, NM_006392, NM_004704, NM_032359, NM_018428, NM_139235, NM_024078, NM_020230, NM_015514, NM_006649, NM_033416, NM_017746, NM_016101, NM_015201, NM_014023, NM_015169	1201	77	14527	3.7701049990808526	2.9197349404763706E-5	9.732544523743947E-6	4.937635087465253E-5
